stem	main form	forms	n	"sort (type ""x"" to keep the word for indexation"
bank food	food banks	food banks|&|food bank	2	x
crop food	food crops	food crops	2	x
food insecur	food insecurity	food insecurity	2	x
food justic	food justice	food justice|&|Food Justice	2	x
food produc	food producers	food producers	2	x
food product	food production	food production|&|food products|&|production for food	2	x
food qualiti	food quality	food quality|&|quality of food|&|quality food	2	x
food safeti	food safety	food safety	2	x
food secur	food security	food security|&|Food Security|&|Food security	2	x
food suppli	food supplies	food supplies	2	x
food system	food system	food system	2	x
food wast	food waste	food waste|&|Food Waste	2	x
chain for-profit nurseri	for-profit chain of nursery	for-profit chain of nursery	4	x
forc marriag	forced marriage	forced marriage|&|forced marriages	2	x
area forest	forest areas	forest areas |&| forest land|&|land and forest	2	x
conserv forest	forest conservation	forest conservation|&|conservation of forests	2	x
forest owner	forest owners	forest owners	2	x
forest resourc	forest resources	forest resources	2	x
educ formal	formal education	formal education	2	x
employ formal	formal employment	formal employment	2	x
child former soldier	former child soldiers	former child soldiers	3	x
children former street	former street children	former street children	3	x
fossil fuel	fossil fuels	fossil fuels|&|fossil fuel	2	x
foundat life	foundation for life	foundation for life|&|foundation for a life|&|foundations for life	3	x
access free	free access	free access|&|access free	2	x
educ free	free education	free education	2	x
food free	free food	free food	2	x
free health servic	free health services	free health services	3	x
express freedom	freedom of expression	freedom of expression|&|freedome of expression	3	x
food fresh	fresh food	fresh food	2	x
fresh water	fresh water	fresh water	2	x
fruit tree	fruit trees	fruit trees	2	x
fuel	fuel	fuel|&|fuels|&|Fuel	1	x
fuel sourc	fuel source	fuel source|&|source of fuel	2	x
fuel use	fuel use	fuel use	2	x
fundament right	fundamental rights	fundamental rights|&|fundamental right	2	x
gang	gang	gang|&|gangs	1	x
gang violenc	gang violence	gang violence	2	x
bag garbag	garbage bags	garbage bags	2	x
base gender violenc	gender based violence	gender based violence|&|Gender based violence	3	x
discrimin gender	gender discrimination	gender discrimination	2	x
gender issu	gender issues	gender issue |&| gender inequality |&| gender equity |&| gender equality issues |&| gender equality|&|Gender equality|&|Gender Equality	2	x
gender role	gender roles	gender roles	2	x
gender-bas violenc	gender-based violence	gender-based violence	2	x
germani	Germany	Germany	1	x
ghana	Ghana	Ghana	1	x
child girl	girl child	girl child|&|GIRL CHILD |&| girl children	2	x
child educ girl	girl child education	girl child education|&|education for the girl child	3	x
educ girl	girls education	girls education|&|girl education|&|Educated girls|&|education for girls	2	x
anti-poverti global movement	global anti-poverty movement	global anti-poverty movement	3	x
citizen global	global citizens	global citizens|&|Global Citizens	2	x
economi global	global economy	global economy	2	x
food global secur	global food security	global food security	3	x
global market	global market	global market	2	x
global network	global network	global network	2	x
global poverti	global poverty	global poverty	2	x
global issu poverti	global poverty issues	global poverty issues	3	x
global scale	global scale	global scale	2	x
crisi global water	global water crisis	global water crisis	3	x
govern issu	governance issues	governance issues	2	x
agenc govern	government agencies	government agencies	2	x
data govern	government data	government data	2	x
govern health system	government health systems	government health systems	3	x
govern india	government of India	government of India|&|Government of India	3	x
govern kenya	Government of Kenya	Government of Kenya|&|government of Kenya	3	x
govern polici	government policies	government policies|&|government policy|&|Policy and Governance	2	x
card govern ration	government ration card	government ration card	3	x
govern school	government schools	government schools|&|government school|&|Government schools	2	x
grass root	grass roots	grass roots|&|grass root	2	x
commun grassroot	grassroots communities	grassroots communities	2	x
grassroot organ	grassroots organizations	grassroots organizations|&|grassroot organizations	2	x
emiss ga greenhous	greenhouse gas emissions	greenhouse gas emissions	3	x
gase greenhous	greenhouse gases	greenhouse gases	2	x
grid	grid	grid|&|grids	1	x
electr grid	grid electricity	grid electricity	2	x
groceri store	grocery stores	grocery stores|&|grocery store	2	x
group incom	group income	group income|&|income group|&|income groups	2	x
grow industri	growing industry	growing industry	2	x
guatemala hondura	Guatemala and Honduras	Guatemala and Honduras	3	x
gulu	Gulu	Gulu	1	x
gun violenc	gun violence	gun violence	2	x
energi har	harness the energy	harness the energy|&|harness energy	3	x
hazaribag	Hazaribag	Hazaribag	1	x
awar health	health awareness	health awareness|&|health and awareness	2	x
camp health	health camps	health camps	2	x
healthcar	health care	healthcare|&|Healthcare|&|HealthCare |&| health care|&|Health Care|&|Health care	1	x
care center health	health care centers	health care centers	3	x
care cost health	health care costs	health care costs	3	x
deliveri healthcar	health care delivery	healthcare delivery|&|delivery of healthcare |&| health care delivery |&| health care providers |&| healthcare providers	2	x
facil healthcar	health care facilities	healthcare facilities|&|healthcare facility |&| health care facilities |&| health facilities|&|health facility|&|HEALTH FACILITIES	2	x
care health intervent	health care interventions	health care interventions	3	x
care health model	health care model	health care model|&|health care models	3	x
healthcar servic	health care services	healthcare services|&|Healthcare services |&| health care services|&|health care service	2	x
care health system	health care system	health care system|&|health care systems |&| health system|&|health systems|&|Health Systems|&|systems of health |&| healthcare system|&|healthcare systems	3	x
care health treatment	health care treatment	health care treatment	3	x
healthcar worker	health care workers	healthcare workers|&|healthcare worker|&|Healthcare Workers |&| health care workers	2	x
center health	health centers	health centers|&|health center|&|Health Center|&|Health Centers |&| health centres|&|Health Centre|&|health centre	2	x
challeng health	health challenges	health challenges	2	x
clinic health	health clinics	health clinics|&|health clinic	2	x
condit health	health condition	health condition|&|health conditions	2	x
coverag health	health coverage	health coverage	2	x
data health	health data	health data|&|Health data	2	x
educ health	health education	health education|&|Health education|&|education and health|&|health and education|&|health educators|&|health or education	2	x
expenditur health	health expenditures	health expenditures|&|health expenditure |&| health expenses	2	x
health indic	health indicators	health indicators|&|health indices	2	x
health inequ	health inequalities	health inequalities	2	x
health inform	health information	health information|&|Health Information|&|information on health	2	x
health insur	health insurance	health insurance|&|Health Insurance	2	x
health intervent	health interventions	health interventions	2	x
health student	health of students	health of students|&|health of the students	3	x
health organ	Health Organization	Health Organization|&|health organizations	2	x
health outcom	health outcomes	health outcomes|&|outcomes in health	2	x
health outreach	health outreach	health outreach|&|Outreach health|&|outreach health	2	x
health plan	health plan	health plan	2	x
health polici	health policy	health policy|&|health policies|&|Health Policy	2	x
health practic	health practices	health practices	2	x
health problem	health problems	health problems|&|health problem |&| health issues	2	x
health insur product	health products like insurance	health products like insurance|&|health insurance products	4	x
health profession	health professionals	health professionals |&| health practitioners	2	x
health program	health programs	health programs|&|health program|&|Health Program	2	x
health provid	health provider	health provider|&|health providers	2	x
health record	health records	health records|&|health record	2	x
health research	health research	health research	2	x
health risk	health risks	health risks|&|health risk	2	x
health sector	health sector	health sector	2	x
health system	health system	health system|&|health systems|&|Health Systems|&|systems of health	2	x
health unit	health units	health units|&|Health Units	2	x
health worker	health workers	health workers|&|health worker|&|Health Workers|&|Health Worker	2	x
commun healthier	healthier communities	healthier communities|&|healthier community	2	x
food healthi	healthy food	healthy food	2	x
diploma high school	high school diploma	high school diploma	3	x
graduat high school	High school graduates	High school graduates|&|graduate from high school	3	x
high school student	high school students	high school students|&|High school students|&|high school student	3	x
educ higher	higher education	higher education	2	x
children educ higher	higher education for children	higher education for children	4	x
educ higher institut	higher education institution	higher education institution|&|institution of higher education	3	x
hiv	HIV	HIV	1	x
aid hiv	HIV and AIDS	HIV and AIDS|&|HIV AIDS|&|HIV & AIDS|&| HIV |&| AIDS	3	x
hiv infect	HIV infection	HIV infection|&|HIV Infections|&|HIV infected	2	x
hiv posit	HIV positive	HIV positive	2	x
hiv preval	HIV prevalence	HIV prevalence	2	x
hiv prevent	HIV prevention	HIV prevention|&|preventing HIV |&| preventing AIDS |&| HIV prevention	2	x
hiv rate	HIV rate	HIV rate|&|rates of HIV|&|HIV rates	2	x
hiv vulner	HIV vulnerability	HIV vulnerability|&|HIV vulnerabilities	2	x
hiv-posit	HIV-positive	HIV-positive	1	x
hiv/aid	HIV/AIDS	HIV/AIDS|&|HIV/AIDs|&|HIV/Aids	1	x
crisi hiv/aid	HIV/AIDS crisis	HIV/AIDS crisis	2	x
hiv/aid pandem	HIV/AIDS pandemic	HIV/AIDS pandemic |&| AIDS pandemic	2	x
hiv/aid prevent	HIV/AIDS prevention	HIV/AIDS prevention |&| HIV prevention |&| AIDS prevention	2	x
homeless peopl	homeless people	homeless people |&| homelessness|&|Homeless	2	x
homeless shelter	homeless shelter	homeless shelter|&|homeless shelters	2	x
honey	honey	honey|&|Honey	1	x
hospit	hospitals	hospitals|&|hospitality|&|Hospitals|&|hospitalizations|&|Hospitality	1	x
household incom	household income	household income|&|household incomes|&|income for household|&|income household	2	x
develop human	human development	human development|&|Human Development	2	x
digniti human	human dignity	human dignity	2	x
health human	human health	human health	2	x
human right	human rights	human rights|&|Human Rights|&|Human rights|&|human right|&|HUMAN RIGHTS|&|rights for humans	2	x
defend human right	Human rights defender	Human rights defender|&|Defender of human rights	3	x
human right violat	Human rights violations	Human rights violations|&|human rights violations|&|violation of human rights|&|human rights violation	3	x
hunger poverti	hunger and poverty	hunger and poverty	3	x
hurrican sandi	Hurricane Sandy	Hurricane Sandy	2	x
hygien practic	hygiene practices	hygiene practices	2	x
i2i	i2i	i2i	1	x
ict	ICT	ICT|&|ICTs	1	x
educ ict	ICT education	ICT education	2	x
idp	IDP	IDP|&|IDPs	1	x
illiteraci	illiteracy	illiteracy|&|Illiteracy |&| illiterate people	1	x
illiteraci rate	illiteracy rate	illiteracy rate	2	x
imci	IMCI	IMCI	1	x
immun system	immune systems	immune systems|&|immune system	2	x
incub	incubator	incubator|&|incubation|&|Incubator|&|incubators	1	x
indigen peopl	indigenous people	indigenous people|&|Indigenous peoples|&|Indigenous People|&|indigenous peoples |&| Indigenous communities|&|indigenous community	2	x
air indoor pollut	indoor air pollution	indoor air pollution|&|Indoor air pollution	3	x
diseas infecti	infectious diseases	infectious diseases	2	x
infest	infestation	infestation	1	x
injustic	injustice	injustice|&|injustices	1	x
insecur	insecurity	insecurity	1	x
instal tank water	installation of water tanks	installation of water tanks	4	x
educ insur	insurance education	insurance education	2	x
insur premium	insurance premium	insurance premium	2	x
insur program	insurance program	insurance program|&|insurance programs	2	x
insurg	insurgency	insurgency	1	x
interact tool	interactive tool	interactive tool	2	x
internet	Internet	Internet|&|Internet	1	x
access internet	Internet access	Internet access|&|internet access |&| internet connection	2	x
irrig	irrigation	irrigation|&|Irrigation	1	x
creation job	job creation	job creation	2	x
job market	job market	job market	2	x
job opportun	job opportunities |&| employment opportunities	job opportunities|&|job opportunity|&|jobs and opportunity|&|Jobs and Opportunities	2	x
job seeker	job seekers	job seekers|&|job seeker	2	x
job skill	job skills	job skills|&|skilled jobs	2	x
journalist	journalists	journalists|&|journalist	1	x
justic system	justice system	justice system	2	x
justic juvenil system	juvenile justice system	juvenile justice system	3	x
kerosen	kerosene	kerosene	1	x
kiln	kilns	kilns|&|kiln	1	x
kindergarten	kindergarten	kindergarten|&|kindergartens|&|Kindergarten|&|Kindergartens	1	x
labor market	labor market	labor market |&| labour market	2	x
electr lack	lack electricity	lack electricity|&|lack of electricity	2	x
educ lack	lack of education	lack of education	3	x
lack school	lack of schools	lack of schools|&|Lack of schools	3	x
lack trust	lack of trust	lack of trust	3	x
degrad land	land degradation	land degradation|&|degraded land	2	x
land right	land rights	land rights|&|Land Rights|&|rights over the land	2	x
land use	land use	land use|&|use of the land	2	x
landless peopl	landless people	landless people	2	x
languag skill	language skills	language skills	2	x
lantern	lanterns	lanterns|&|lantern	1	x
larva	larvae	larvae	1	x
latrin	latrines	latrines|&|latrine	1	x
legal represent	legal representation	legal representation	2	x
legal right	legal rights	legal rights	2	x
legal system	legal system	legal system	2	x
leisur time	leisure time	leisure time	2	x
grass lemon	lemon grass	lemon grass	2	x
len	lens	lens	1	x
lgbt	LGBT	LGBT	1	x
individu lgbt	LGBT individuals	LGBT individuals	2	x
lgbt youth	LGBT youth	LGBT youth	2	x
librari	library	library|&|libraries|&|Library|&|Libraries	1	x
educ life	life education	life education|&|life through education	2	x
expect life	life expectancy	life expectancy|&|Life expectancy	2	x
digniti life	life with dignity	life with dignity|&|life dignity	3	x
class literaci	literacy classes	literacy classes|&|Literacy class	2	x
literaci program	literacy program	literacy program|&|literacy programs	2	x
literaci rate	literacy rate	literacy rate|&|literacy rates	2	x
literaci skill	literacy skills	literacy skills	2	x
improv livelihood	livelihood improvement	livelihood improvement|&|improving livelihoods|&|livelihood improvements|&|improved livelihoods|&|improvement of the livelihoods|&|improved livelihood	2	x
livelihood opportun	livelihood opportunities	livelihood opportunities	2	x
livelihood skill	livelihood skills	livelihood skills|&|skills livelihoods	2	x
loan	loan	loan|&|loans|&|Loans|&|LOAN	1	x
interest loan	loan interest	loan interest|&|loan with interest	2	x
loan product	loan products	loan products	2	x
bank local	local banks	local banks|&|local bank	2	x
busi local	local businesses	local businesses|&|local business	2	x
capac local	local capacity	local capacity|&|local capacities	2	x
church local	local church	local church|&|local churches	2	x
church local partner	local church partners	local church partners|&|local church that partners|&|partner with the local church	3	x
clinic local	local clinics	local clinics	2	x
develop econom local	Local Economic Development	Local Economic Development|&|local economic development	3	x
economi local	local economy	local economy	2	x
entrepreneur local	local entrepreneurs	local entrepreneurs |&| local entrepreneurship	2	x
farmer local	local farmers	local farmers	2	x
bank food local	local food bank	local food bank	3	x
govern local	local government	local government|&|local governments|&|Local Government|&|local governance|&|local Government|&|Local government	2	x
facil health local	local health facilities	local health facilities|&|local health facility	3	x
health local servic	local health services	local health services	3	x
languag local	local languages	local languages|&|local language	2	x
local market	local markets	local markets|&|local market	2	x
local volunt	local volunteers	local volunteers	2	x
data locat	location data	location data	2	x
develop long-term	long-term development	long-term development	2	x
long-term sustain	long-term sustainability	long-term sustainability	2	x
angel lo	Los Angeles	Los Angeles	2	x
cost low	low cost	low cost|&|Low Cost|&|Low cost	2	x
countri incom low	low income countries	low income countries	3	x
low product	low productivity	low productivity	2	x
kiln low-cost	low-cost kiln	low-cost kiln	2	x
famili low-incom	low-income families	low-income families	2	x
lowland	lowland	lowland	1	x
maiz	maize	maize|&|Maize	1	x
malaria	malaria	malaria|&|Malaria	1	x
case malaria	malaria cases	malaria cases|&|cases of malaria	2	x
malnutrit	malnutrition	malnutrition|&|Malnutrition	1	x
manur	manure	manure	1	x
access electr map	mapping electricity access	mapping electricity access	3	x
farmer margin	marginal farmers	marginal farmers	2	x
commun margin	marginalized communities	marginalized communities|&|marginalized community	2	x
group margin	marginalized group	marginalized group|&|marginal groups|&|marginalized groups	2	x
margin women youth	marginalized women and youth	marginalized women and youth	4	x
access market	market access	market access|&|access the market	2	x
demand market	market demand	market demand	2	x
failur market	market failure	market failure|&|market failures	2	x
market opportun	market opportunity	market opportunity	2	x
market place	market place	market place	2	x
market share	market share	market share	2	x
market-bas solut	market-based solutions	market-based solutions|&|market-based solution	2	x
market skill	marketing skills	marketing skills|&|marketable skills	2	x
marriag	marriage	marriage|&|marriages	1	x
mass media	mass media	mass media	2	x
assist materi	material assistance	material assistance|&|Material Assistance	2	x
health matern	maternal health	maternal health	2	x
matern mortal	maternal mortality	maternal mortality|&|Maternal mortality	2	x
matern ward	maternity ward	maternity ward|&|maternity wards	2	x
math	math	math	1	x
campaign media	media campaigns	media campaigns|&|media campaign	2	x
coverag media	media coverage	media coverage	2	x
media program	media programs	media programs	2	x
media report	media reports	media reports	2	x
attent medic	medical attention	medical attention	2	x
care medic	medical care	medical care	2	x
condit medic	medical condition	medical condition|&|medical conditions	2	x
consult medic	medical consultations	medical consultations	2	x
intervent medic	medical interventions	medical interventions	2	x
medic profession	medical professionals	medical professionals |&| medical personnel	2	x
medic servic	medical services	medical services	2	x
medic suppli	medical supplies	medical supplies	2	x
medic treatment	medical treatment	medical treatment	2	x
medic	medication	medication|&|medications	1	x
medicin plant	medicinal plants	medicinal plants |&| medicinal herbs	2	x
medicin	medicines	medicines|&|medicine|&|Medicine|&|Medicines	1	x
memori	memory	memory	1	x
hygien menstrual	menstrual hygiene	menstrual hygiene	2	x
disabl mental	mental disabilities	mental disabilities	2	x
health mental	mental health	mental health	2	x
care health mental	mental health care	mental health care	3	x
health issu mental	mental health issues	mental health issues |&| mental health problems	3	x
health mental servic	mental health services	mental health services	3	x
ill mental	mental illness	mental illness	2	x
activist commun mentor	mentoring community activists	mentoring community activists	3	x
metal	metals	metals	1	x
clay method mix	method of mixing clay	method of mixing clay	4	x
entrepreneur micro	micro entrepreneurs	micro entrepreneurs	2	x
financ micro	Micro finances	Micro finances|&|Micro Finance |&| micro financing Institution|&|micro finance institutions	2	x
micro-credit	micro-credit	micro-credit|&|Micro-credit |&| microcredit	1	x
micro-nutri	micro-nutrients	micro-nutrients|&|micro-nutrient	1	x
microfin	microfinance	microfinance|&|Microfinance	1	x
milk	milk	milk|&|Milk	1	x
develop goal millennium	Millennium Development Goals	Millennium Development Goals|&|Millennium development goals	3	x
group minor	minority group	minority group|&|minority groups|&|MINORITY GROUPS	2	x
cement clay mix	Mixing clay with cement	Mixing clay with cement	4	x
applic mobil	mobile application	mobile application|&|mobile applications|&|Mobile application |&| mobile app	2	x
carrier mobil	mobile carriers	mobile carriers	2	x
clinic mobil	mobile clinics	mobile clinics|&|Mobile Clinics	2	x
devic mobil	mobile devices	mobile devices|&|mobile device	2	x
health mobil	mobile health	mobile health	2	x
mobil network oper	mobile network operators	mobile network operators|&|mobile network operator	3	x
mobil petit tool	mobile petition tool	mobile petition tool	3	x
applic mobil phone	Mobile Phone Application	Mobile Phone Application|&|mobile phone application|&|mobile phone applications	3	x
mobil phone technolog	mobile phone technology	mobile phone technology	3	x
mobil phone user	mobile phone users	mobile phone users|&|mobile phone user	3	x
mobil phone	mobile phones	mobile phones|&|mobile phone|&|Mobile phones|&|Mobile Phone	2	x
develop mobil phone world	mobile phones in the developing world	mobile phones in the developing world	6	x
mobil subscrib	mobile subscribers	mobile subscribers	2	x
mobil technolog	mobile technology	mobile technology|&|Mobile Technology|&|mobile technologies	2	x
mobil payment tuition	mobile tuition payments	mobile tuition payments	3	x
arab modern societi	modern Arab societies	modern Arab societies	3	x
moh	MOH	MOH	1	x
mortal	mortality	Mortality |&| morbidity	1	x
mortal rate	mortality rate	mortality rate|&|mortality rates |&| morbidity rates |&| morbidity rate	2	x
mother-to-child transmiss	mother-to-child transmission	mother-to-child transmission|&|mother-to-child transmissions	2	x
nation televis	national television	national television	2	x
american nativ	Native American	Native American	2	x
disast natur	natural disasters	natural disasters|&|natural disaster	2	x
natur product	natural products	natural products	2	x
natur resourc	natural resources	natural resources|&|natural resource	2	x
natur talent	natural talents	natural talents	2	x
ncd	NCDs	NCDs	1	x
diseas neglect	neglected diseases	neglected diseases	2	x
cabl network	network cable	network cable|&|Network cables	2	x
infect new	new infections	new infections	2	x
nimbl organis structur	nimble organisational structure	nimble organisational structure	3	x
fee nomin	nominal fee	nominal fee	2	x
base loan non-collater	non-collateral based loans	non-collateral based loans	3	x
diseas non-communic	non-communicable diseases	non-communicable diseases	2	x
educ non-form	non-formal education	non-formal education	2	x
nurseri	nursery	nursery|&|nurseries|&|Nursery	1	x
nurs	nurses	nurses|&|nurse|&|Nurse	1	x
nutrit	nutrition	nutrition|&|Nutrition	1	x
food nutriti	nutritious foods	nutritious foods|&|nutritious food |&| nutritious meals	2	x
compani oil	oil companies	oil companies|&|Oil Company	2	x
on-demand	on-demand	on-demand	1	x
onlin platform	online platform	online platform|&|online platforms	2	x
data open	open data	open data|&|Open Data	2	x
data kit open	Open Data Kit	Open Data Kit	3	x
defec open	open defecation	open defecation|&|Open Defecation	2	x
open sourc	open source	open source	2	x
mobil open sourc tool	open source mobile tool	open source mobile tool	4	x
open platform sourc	open source platform	open source platform	3	x
open softwar sourc	open source software	open source software	3	x
open space	open spaces	open spaces|&|open space	2	x
open-sourc	open-source	open-source	1	x
gap opportun	opportunity gap	opportunity gap	2	x
fertil organ	organic fertilizers	organic fertilizers	2	x
organ wast	organic waste	organic waste	2	x
children orphan	orphan children	orphan children|&|orphaned children|&|orphans and children |&| orphaned youth|&|orphans and youth	2	x
outreach program	outreach program	outreach program	2	x
parasit worm	parasitic worms	parasitic worms	2	x
pathogen	pathogens	pathogens	1	x
care patient	patient care	patient care|&|care patients	2	x
data patient	patient data	patient data	2	x
educ patient	patient education	patient education	2	x
educ peac	peace education	peace education|&|Peace education|&|PEACE EDUCATION	2	x
farmer peasant	peasant farmers	peasant farmers	2	x
pedagogi	pedagogy	pedagogy	1	x
educ peer	peer educators	peer educators|&|peer education	2	x
peer pressur	peer pressure	peer pressure|&|Peer Pressure	2	x
area peopl rural	people in rural areas	people in rural areas|&|people in the rural areas	4	x
area peri-urban	peri-urban areas	peri-urban areas|&|peri-urban area	2	x
disabl person	persons with disabilities	persons with disabilities|&|Persons with Disabilities|&|Person with disabilities|&|disabled person|&|disabled persons|&|Persons with disabilities |&| impaired people	3	x
pesticid	pesticides	pesticides	1	x
pfp	PFP	PFP	1	x
donat philanthrop	philanthropic donations	philanthropic donations	2	x
phone	phone	phone|&|phones|&|Phone	1	x
activ physic	physical activities	physical activities|&|physical activity	2	x
physician	physician	physician|&|physicians|&|Physicians	1	x
pig	pigs	pigs|&|pig	1	x
pipelin	pipeline	pipeline	1	x
latrin pit	pit latrines	pit latrines	2	x
plant project	Planting Project	Planting Project|&|planting project	2	x
bag plastic	plastic bags	plastic bags	2	x
bottl plastic	plastic bottles	plastic bottles	2	x
plastic wast	plastic waste	plastic waste|&|waste plastic	2	x
pmtct servic	PMTCT services	PMTCT services	2	x
pneumonia	pneumonia	pneumonia	1	x
point-of-us water	point-of-use water	point-of-use water|&|water at point-of-use	2	x
chang polici	policy changes	policy changes|&|policy change|&|changes policies|&|policy and change	2	x
educ polici	policy of education	policy of education|&|education policy	3	x
polio	polio	polio	1	x
pollut	pollution	pollution	1	x
children poor	poor children	poor children |&| impoverished chilldren	2	x
commun poor	poor communities	poor communities|&|poor community|&|Community poor |&| impoverished communities	2	x
countri poor	poor countries	poor countries	2	x
famili poor	poor families	poor families |&| impoverished families	2	x
farmer poor	poor farmers	poor farmers	2	x
household poor	poor households	poor households	2	x
hygien poor	poor hygiene	poor hygiene	2	x
nutrit poor	poor nutrition	poor nutrition	2	x
poor sanit	poor sanitation	poor sanitation	2	x
densiti popul	population density	population density	2	x
conflict post	post conflict	post conflict	2	x
potabl water	potable water	potable water	2	x
poultri	poultry	poultry	1	x
allevi poverti	poverty alleviation	poverty alleviation|&|Poverty Alleviation	2	x
cycl poverti	poverty cycle	poverty cycle|&|cycle of poverty	2	x
erad poverti	poverty eradication	poverty eradication|&|eradicating poverty|&|eradication of poverty|&|Poverty Eradication	2	x
line poverti	poverty line	poverty line|&|Poverty Line|&|poverty lines	2	x
poverti rate	poverty rate	poverty rate|&|poverty rates	2	x
poverti reduct	poverty reduction	poverty reduction	2	x
plant power	power plants	power plants	2	x
power sourc	power sources	power sources	2	x
pregnanc	pregnancy	pregnancy|&|pregnancies|&|Pregnancy	1	x
pregnanc rate	pregnancy rates	pregnancy rates	2	x
pregnant women	pregnant women	pregnant women|&|Pregnant women	2	x
hospit privat	private hospitals	private hospitals	2	x
privat school	private schools	private schools|&|private school	2	x
problem skill solv	problem solving skills	problem solving skills |&| problem-solving skills	3	x
product unit	production units	production units|&|production unit	2	x
educ promot	promoting education	EDUCATION PROMOTION|&|promoting education	2	x
prostitut	prostitution	prostitution|&|PROSTITUTION	1	x
protein	protein	protein|&|proteins	1	x
health public	public health	public health|&|Public Health	2	x
campaign health public	public health campaigns	public health campaigns	3	x
center health public	public health centers	public health centers	3	x
health public system	public health system	public health system	3	x
polici public	public policies	public policies|&|public policy|&|Public Policy|&|Policy Public	2	x
public toilet	public toilets	public toilets	2	x
public transport	public transport	public transport|&|public transportation	2	x
partnership public-priv	public-private partnership	public-private partnership|&|public-private partnerships	2	x
pump	pumps	pumps|&|Pump|&|pump	1	x
pupil	pupils	pupils|&|pupil	1	x
pwd	PWDs	PWDs|&|PwD	1	x
qualifi teacher	qualified teachers	qualified teachers	2	x
control qualiti	quality control	quality control|&|control the quality	2	x
qualiti seed	quality seeds	quality seeds	2	x
r&d	R&D	R&D	1	x
racism	racism	racism|&|Racism	1	x
radio	radio	radio|&|Radio|&|radios	1	x
rain	rain	rain|&|rains	1	x
harvest rain water	rain water harvesting	rain water harvesting |&| rain-water harvesting	3	x
rainwat	rainwater	rainwater	1	x
rape	rape	rape	1	x
rapidsm	RapidSMS	RapidSMS	1	x
batteri recharg	rechargeable batteries	rechargeable batteries	2	x
materi recycl	recycled materials	recycled materials	2	x
carbon dioxid emiss reduc	reducing emission of carbon dioxide	reducing emission of carbon dioxide|&|reduced carbon dioxide emissions	5	x
poverti reduc	reducing poverty	reducing poverty	2	x
refriger	refrigeration	refrigeration|&|refrigerator|&|refrigerators	1	x
camp refuge	refugee camps	refugee camps	2	x
refuge	refugees	refugees|&|refugee|&|Refugee|&|Refugees	1	x
rehabilit	rehabilitation	rehabilitation|&|Rehabilitation|&|rehabilitative|&|rehabilitations	1	x
religion	religion	religion|&|religions	1	x
leader religi	religious leaders	religious leaders	2	x
area remot	remote areas	remote areas	2	x
commun remot	remote communities	remote communities|&|remote communication	2	x
area remot rural	remote rural areas	remote rural areas	3	x
remot villag	remote villages	remote villages|&|remote village	2	x
energi renew	renewable energy	renewable energy|&|Renewable Energy|&|Renewable energy	2	x
energi renew sector	renewable energy sector	renewable energy sector	3	x
rate repay	repayment rate	repayment rate	2	x
health reproduct	reproductive health	reproductive health|&|Reproductive Health	2	x
reput	reputation	reputation	1	x
data research	research data	research data|&|data from this research	2	x
alloc resourc	resource allocation	resource allocation	2	x
capac constraint resourc	resource capacity constraints	resource capacity constraints|&|resource and capacity constraints	3	x
manag resourc	resource management	resource management|&|Resource Management|&|resources management	2	x
mobil resourc	resource mobilization	resource mobilization|&|Resource mobilization	2	x
person resourc	resource persons	resource persons|&|RESOURCE PERSONS	2	x
retail	retailers	retailers	1	x
rate retent	retention rate	retention rate	2	x
fund revolv	revolving fund	revolving fund	2	x
crop rice	rice crop	rice crop|&|crop of rice	2	x
product rice	rice production	rice production|&|productivity Rice|&|RICE production	2	x
awar right	rights awareness	rights awareness|&|awareness of rights	2	x
holder right	rights holders	rights holders	2	x
refuge right	rights of refugees	rights of refugees|&|refugee rights|&|Refugee Rights|&|refugees rights	3	x
right women	rights of women	rights of women|&|women rights	3	x
organ right	rights organizations	rights organizations|&|rights organization	2	x
right violat	rights violations	rights violations	2	x
approach rights-bas	rights-based approach	rights-based approach	2	x
assess risk	risk assessment	risk assessment|&|risk assessments	2	x
factor risk	risk factors	risk factors	2	x
exposur long-term risk	risk long-term exposure	risk long-term exposure	3	x
profil risk	risk profile	risk profile	2	x
risk youth	risk youth	risk youth|&|youth as a risk|&|youth at risk	2	x
behavior riski sexual	risky sexual behaviors	risky sexual behaviors|&|sexual risky behaviors	3	x
roma	Roma	Roma	1	x
children roma	Roma children	Roma children	2	x
commun roma	Roma communities	Roma communities|&|Roma community	2	x
minor roma	Roma minority	Roma minority	2	x
roma settlement	Roma settlements	Roma settlements	2	x
run water	running water	running water	2	x
area electr rural	rural area with no electricity	rural area with no electricity	5	x
area rural	rural areas	rural areas|&|rural area|&|Rural Areas|&|Rural area|&|RURAL AREAS	2	x
commun rural	rural communities	rural communities|&|rural community|&|Rural communities	2	x
develop rural	Rural Development	Rural Development|&|rural development	2	x
ecosystem rural	rural ecosystem	rural ecosystem	2	x
entrepreneur rural	rural entrepreneurs	rural entrepreneurs	2	x
famili rural	rural families	rural families	2	x
farmer rural	rural farmers	rural farmers|&|rural farmer	2	x
folk rural	rural folks	rural folks|&|rural folk	2	x
health rural worker	rural health workers	rural health workers	3	x
household rural	rural households	rural households|&|rural household	2	x
market rural	rural markets	rural markets	2	x
children poor rural	rural poor children	rural poor children|&|poor rural children	3	x
farmer poor rural	rural poor farmers	rural poor farmers|&|poor rural farmers	3	x
popul rural	rural population	rural population	2	x
poverti rural	rural poverty	rural poverty	2	x
