stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
individu institut	individuals and institutions	individuals and institutions|&|institutions or individuals|&|institutions and individuals	3	18,8836725165	122,988369448	200,62032541	12,0	457,0	 
activ extracurricular	extracurricular activities	extracurricular activities	2	22,0309512693	141,723014031	232,618527917	13,0	527,0	 
color men young	young men of color	young men of color	4	41,6999479659	255,462658244	380,875680149	14,0	552,0	 
scienc social	social sciences	social sciences|&|social science|&|Social Science	2	31,4727875276	192,21949855	182,424993289	18,0	562,0	 
equal gender	gender equality	gender equality|&|Gender Equality|&|equality of gender	2	95,9920019591	494,138665897	218,950641225	47,0	1684,0	 
peopl support	support people	support people|&|people support|&|support the people|&|support on this people|&|people they support	2	20,4573118929	133,237400236	220,651758625	12,0	380,0	 
help women	helping women	helping women	2	15,7363937638	113,397944843	243,183865055	6,0	129,0	 
cultur tradit	cultural traditions	cultural traditions|&|traditional culture	2	23,6045906457	150,096798115	183,577385878	14,0	477,0	 
arab world	Arab world	Arab world|&|Arab World	2	37,7673450331	242,953738338	192,298045288	13,0	384,0	 
board colleg	College Board	College Board	2	20,4573118929	133,237400236	176,319294408	12,0	423,0	 
climat justic	climate justice	climate justice|&|Climate Justice	2	14,1627543874	99,8749521417	275,75938943	7,0	191,0	 
main problem	main problem	main problem|&|main problems	2	45,635541915	258,554995811	188,73897171	28,0	738,0	 
bodi student	student body	student body|&|student bodies	2	36,1937056567	215,473139	219,187051429	24,0	785,0	 
farm practic	farming practices	farming practices	2	14,1627543874	97,983779825	175,245916257	8,0	354,0	 
averag household	average household	average household	2	15,7363937638	108,870866472	211,348813111	8,0	238,0	 
violenc youth	youth violence	youth violence|&|Youth Violence|&|violence the youth	2	66,0928538079	400,087490003	239,792841662	21,0	880,0	 
product system	production system	production system|&|production systems|&|system of production	2	20,4573118929	135,017419113	201,76032496	11,0	457,0	 
male model role	male role models	male role models|&|male role model	3	37,7285243501	223,80766135	636,482687288	22,0	911,0	 
direct link	direct link	direct link	2	17,3100331402	114,24550848	187,516136513	11,0	398,0	 
human right watch	Human Rights Watch	Human Rights Watch	3	17,8714062711	121,87151126	306,068538899	7,0	209,0	 
carbon neutral	carbon neutral	carbon neutral	2	17,3100331402	124,737739327	197,203593127	6,0	117,0	 
energi wind	wind energy	wind energy	2	14,1627543874	97,983779825	195,121689646	8,0	183,0	 
homeless peopl	homeless people	homeless people	2	28,3255087748	178,161899552	239,684250311	15,0	462,0	 
leon sierra	Sierra Leone	Sierra Leone	2	136,906625745	761,730262196	201,100873549	31,0	1082,0	 
differ perspect	different perspective	different perspective|&|different perspectives	2	22,0309512693	140,090344908	202,330794958	14,0	511,0	 
land right	land rights	land rights|&|rights and land	2	18,8836725165	126,431270019	210,585349009	10,0	374,0	 
colleg graduat	college graduates	college graduates|&|college graduation|&|graduate from college|&|graduate college|&|college graduate|&|graduating college|&|College graduates|&|graduated college|&|graduation from college|&|college upon graduation|&|college and graduate|&|college after graduation|&|graduates through college|&|graduate and college	2	234,47226708	979,524936321	1029,89520816	145,0	5443,0	 
african-american male young	young African-American males	young African-American males|&|African-American young males	3	33,7571007343	225,694110818	304,136936573	9,0	579,0	 
social worker	social workers	social workers|&|social worker|&|Social Workers|&|Social Worker|&|Social workers	2	171,526692025	783,368824975	181,641633368	84,0	3214,0	 
activ recreat	recreational activities	recreational activities|&|recreational activity	2	34,6200662803	207,793860369	217,186024833	20,0	769,0	 
train young	train young	train young|&|trains young	2	14,1627543874	96,3156476199	261,77083804	11,0	411,0	 
measur tool	measurement tools	measurement tools|&|measurement tool|&|measuring tool|&|measuring tools|&|tools of measurement|&|tool of measurement	2	59,7982963024	325,452597208	185,758488895	35,0	1256,0	 
line live popul poverti	population lives below the poverty line	population lives below the poverty line|&|population lives under the poverty line	6	17,8714062711	117,38016901	437,322430919	9,0	314,0	 
environment sustain	environmental sustainability	environmental sustainability	2	81,8292475717	430,436949845	181,295803397	42,0	1486,0	 
camp refuge	refugee camps	refugee camps|&|refugee camp	2	48,7828206677	290,420317782	204,673139568	21,0	615,0	 
build capac servic	capacity building services	capacity building services	3	13,8999826553	99,4659114549	483,517067656	5,0	161,0	 
plant tree	plant trees	plant trees|&|tree planting|&|planting trees|&|plant the trees|&|trees planted|&|planted trees	2	53,5037387969	307,098496949	175,079507052	30,0	898,0	 
incom low peopl	low income people	low income people|&|people with low income|&|people with the low income	3	23,8285416948	151,72520198	275,402381787	11,0	372,0	 
child health	child health	child health|&|Child Health	2	42,4882631622	259,496323042	345,111680824	22,0	727,0	 
channel tv	TV channel	TV channel|&|TV channels	2	23,6045906457	163,306299708	200,094172799	8,0	193,0	 
black student	Black students	Black students|&|black students|&|Black Students	2	140,053904498	686,755676391	651,656236721	60,0	2669,0	 
measur program success	measure the success of the program	measure the success of the program|&|program measures success|&|measures of success of the program|&|measures program success	6	15,8856944632	106,208993326	311,99677072	8,0	229,0	 
artisan femal	female artisans	female artisans	2	15,7363937638	116,267028652	213,718812661	5,0	149,0	 
project social	social projects	social projects|&|social project|&|projects social	2	31,4727875276	200,129064154	215,96213015	14,0	451,0	 
attain educ	educational attainment	educational attainment|&|education attainment	2	64,5192144315	345,840285809	296,521964934	38,0	1467,0	 
book first	first book	first book	2	15,7363937638	108,870866472	216,710532586	8,0	241,0	 
african american commun	African American community	African American community|&|African American communities|&|African American Community|&|communities African American	3	123,11413209	592,674397826	347,503609495	52,0	2597,0	 
point start	starting point	starting point	2	31,4727875276	188,903509427	172,983219438	20,0	624,0	 
face men	men face	men face	2	15,7363937638	105,359391683	186,09356395	10,0	352,0	 
bureau censu	Census Bureau	Census Bureau|&|census bureau	2	114,875674476	559,527228746	228,039225985	70,0	2599,0	 
creativ outlet	creative outlets	creative outlets|&|creative outlet	2	25,1782300221	166,175285062	241,192293062	11,0	384,0	 
develop organ	development organizations	development organizations|&|development organization|&|Development Organization|&|development of the organization|&|Development Organizations|&|organization development|&|development of this organization	2	103,860198841	518,316509273	209,819789725	62,0	2410,0	 
african-american boy	African-American boys	African-American boys	2	22,0309512693	152,419213061	270,097456793	11,0	503,0	 
market readi	ready market	ready market|&|market ready	2	14,1627543874	97,983779825	261,849953589	8,0	253,0	 
8th grade	8th grade	8th grade	2	58,224656926	318,575844566	435,0848408	41,0	1516,0	 
employ lack	lack of employment	lack of employment|&|employment as they lack	3	20,4573118929	133,237400236	251,821079001	12,0	412,0	 
children educ	children education	children education|&|education of children|&|educating children|&|education children|&|education for children|&|education these children|&|children with an education|&|children and education|&|education for the children	2	45,635541915	261,93695328	203,295800291	26,0	973,0	 
session week	week session	week session|&|week sessions|&|session per week|&|sessions every week	2	33,046426904	200,043745002	305,817432482	19,0	792,0	 
color commun	communities of color	communities of color|&|Communities of color|&|color communities	3	66,0928538079	359,710765335	193,687697368	35,0	1193,0	 
commun project servic	community service projects	community service projects|&|community service project|&|community through a service projects	3	105,242725819	524,222244725	3152,22883564	44,0	1766,0	 
measur particip	measure participants	measure participants|&|measure participation|&|participation & measure|&|measure the participants|&|measure if participants	2	17,3100331402	114,24550848	185,896323445	11,0	393,0	 
continu educ	continuing education	continuing education|&|continuous education	2	37,7673450331	224,841536347	168,742952026	21,0	736,0	 
commun local	local communities	local communities|&|local community|&|Local communities|&|community local	2	569,657454249	1901,72850979	235,429237919	294,0	10306,0	 
money smart	Money Smart	Money Smart	2	14,1627543874	107,800653098	229,321579191	4,0	145,0	 
agricultur practic sustain	sustainable agricultural practices	sustainable agricultural practices|&|sustainable agriculture practices	3	19,857118079	128,330253811	216,891770265	10,0	500,0	 
clinic health	health clinics	health clinics|&|health clinic	2	39,3409844095	234,209933695	169,245517161	21,0	1003,0	 
chang global	global change	global change	2	15,7363937638	107,017386244	261,059687374	9,0	244,0	 
govern offic	government offices	government offices|&|government officers	2	20,4573118929	131,5999416	199,103881623	13,0	418,0	 
centr inform	Information Centre	Information Centre|&|information centres	2	15,7363937638	110,972169046	196,840933128	7,0	266,0	 
foreign languag	foreign language	foreign language|&|foreign languages	2	29,8991481512	197,333151011	203,068228284	11,0	360,0	 
awar more	more awareness	more awareness	2	14,1627543874	96,3156476199	197,589645948	9,0	240,0	 
area urban	urban areas	urban areas|&|urban area	2	283,255087748	1120,11216881	321,586635173	155,0	5422,0	 
administr school	school administrators	school administrators|&|school administration|&|school administrator|&|administrators at each school	2	50,3564600441	278,577896106	309,655772604	35,0	1187,0	 
oper tour	tour operators	tour operators	2	14,1627543874	104,640325787	188,417692771	5,0	120,0	 
hope year	years we hope	years we hope|&|years the hope	3	29,8991481512	180,991959763	183,616562628	19,0	584,0	 
green product	green products	green products	2	17,3100331402	124,737739327	193,796868541	6,0	194,0	 
impact increas	increase impact	increase impact|&|increase the impact|&|impact increases|&|impact increase|&|increase in impact|&|increases the impact	2	25,1782300221	156,741167204	176,450433535	16,0	606,0	 
black men women	black men and women	black men and women|&|Black men and women|&|Black women and men	4	13,8999826553	94,7889532019	248,757813922	7,0	206,0	 
challeng econom	economic challenges	economic challenges|&|economic challenge	2	26,7518693984	166,537490154	179,034569278	16,0	551,0	 
children rural	rural children	rural children	2	23,6045906457	153,73546181	260,51059801	12,0	403,0	 
women youth	women and youth	women and youth|&|youth and women|&|youths and women|&|women and youths|&|women & youth|&|Women and youth|&|Women and Youth|&|youths & women|&|women youth|&|youth & women|&|Youth and Women|&|Women & youth	3	125,89115011	623,765844984	322,077832871	57,0	2134,0	 
imag self	self image	self image	2	15,7363937638	110,972169046	180,423851858	15,0	561,0	 
progress student	student progress	student progress|&|students progress|&|progress of students|&|progress students|&|progress of the students|&|student as they progress|&|progress of every student|&|progress of these students	2	51,9300994205	292,395458127	371,975396982	37,0	1443,0	 
care system	care system	care system|&|care systems|&|system of care	2	14,1627543874	96,3156476199	399,896767898	32,0	1071,0	 
commun driven	community driven	community driven|&|driven community	2	20,4573118929	131,5999416	189,925621719	13,0	382,0	 
index poverti	poverty index	poverty index|&|Poverty Index	2	25,1782300221	161,969158892	173,784580224	13,0	411,0	 
cia factbook world	CIA World Factbook	CIA World Factbook|&|CIA The World Factbook	3	21,8428298869	141,163279192	207,764376763	10,0	305,0	 
acquisit skill	skill acquisition	skill acquisition|&|skills acquisition|&|SKILL ACQUISITION|&|acquisition of skills	2	83,4028869481	444,895402319	216,160005632	39,0	1248,0	 
chang drive	drive change	drive change|&|drive the change	2	20,4573118929	131,5999416	181,914075768	13,0	503,0	 
elect offici	elected officials	elected officials	2	48,7828206677	278,160491096	222,701199675	27,0	800,0	 
black men	Black men	Black men|&|black men|&|Black Men|&|Men In Black	2	761,641458167	2641,69639219	2167,67706989	322,0	12208,0	 
student track	track students	track students|&|track student|&|track these students|&|track the students|&|track all students|&|track out students|&|track each student|&|track that students	2	50,3564600441	281,827827567	227,369132191	31,0	1282,0	 
offer organ	organizations offer	organizations offer|&|organizations that offer|&|offer organizations	2	20,4573118929	131,5999416	179,958082293	13,0	565,0	 
pregnanc rate	pregnancy rates	pregnancy rates|&|pregnancy rate	2	14,1627543874	96,3156476199	226,27349258	11,0	489,0	 
head teacher	head teacher	head teacher|&|head teachers	2	14,1627543874	97,983779825	178,763613954	8,0	308,0	 
build capac workshop	capacity building workshops	capacity building workshops	3	15,8856944632	106,208993326	519,167126705	8,0	305,0	 
educ offer	offer education	offer education|&|offer educational|&|educational offer|&|offer an education	2	15,7363937638	105,359391683	170,735133969	10,0	370,0	 
educ school secondari	secondary school education	secondary school education|&|education at secondary school|&|education after secondary school	3	27,7999653106	172,368637884	292,076386613	13,0	527,0	 
color women young	young women of color	young women of color	4	15,8856944632	108,330232231	413,672947455	7,0	286,0	 
educ polici	education policy	education policy|&|education policies|&|Education Policy|&|policy education	2	47,2091812914	272,820839772	181,597981271	25,0	968,0	 
author local	local authorities	local authorities	2	40,9146237858	236,444727802	170,779582039	25,0	779,0	 
black initi male	Black Male Initiative	Black Male Initiative	3	13,8999826553	102,567602948	280,183411753	4,0	176,0	 
social ventur	social venture	social venture|&|social ventures|&|Social Ventures	2	102,286559465	533,28781496	322,121533935	44,0	1282,0	 
deaf peopl	Deaf people	Deaf people|&|deaf people	2	22,0309512693	162,773840113	180,752488699	5,0	135,0	 
athlet profession	professional athletes	professional athletes	2	18,8836725165	133,166602856	237,381616845	7,0	176,0	 
high price	high prices	high prices|&|high price	2	25,1782300221	158,366132935	173,844497145	15,0	461,0	 
choic food healthi	healthy food choices	healthy food choices	3	15,8856944632	106,208993326	204,78277441	8,0	304,0	 
incom increas	increased income	increased income|&|increase income|&|increase incomes|&|increase the income|&|increase in income|&|increasing income|&|income increases|&|increase of income|&|increased incomes|&|income increase|&|incomes increase|&|increases in income|&|increases income|&|increase the incomes|&|increase of the income	2	155,790298261	702,492397242	405,404876251	90,0	3053,0	 
green job	green jobs	green jobs|&|green job|&|Green Jobs|&|Green jobs|&|Green job	2	105,433838217	554,601454607	196,841196007	42,0	1390,0	 
children impact	impact children	impact children|&|impact on children|&|impact on the children	2	14,1627543874	97,983779825	201,195881762	8,0	235,0	 
life organ	life organization	life organization|&|life of the organization|&|organization over the life|&|life of this organization	2	31,4727875276	232,534057305	203,072494378	5,0	180,0	 
medic treatment	medical treatment	medical treatment|&|treatment medical	2	25,1782300221	160,103251323	174,70981985	14,0	552,0	 
lack servic	lack of services	lack of services|&|lack services|&|services lack	3	14,1627543874	97,983779825	187,054589631	8,0	289,0	 
age american male	American males ages	American males ages|&|American males aged	3	21,8428298869	139,081435148	542,416499269	11,0	562,0	 
organ provid	organizations providing	organizations providing|&|organization providing|&|providing organization	2	14,1627543874	96,3156476199	183,62799445	9,0	308,0	 
food justic	food justice	food justice|&|food and justice	2	36,1937056567	221,052423332	442,886405858	22,0	817,0	 
differ program	different programs	different programs	2	33,046426904	196,736344304	190,077562606	21,0	655,0	 
assess test	assessment test	assessment test|&|assessment tests	2	14,1627543874	96,3156476199	169,475833727	9,0	307,0	 
experi hand	hands on experience	hands on experience|&|hand experience	3	26,7518693984	166,537490154	172,847519867	20,0	591,0	 
critic thinker	critical thinkers	critical thinkers	2	14,1627543874	99,8749521417	225,612910284	7,0	242,0	 
capac product	production capacity	production capacity|&|productive capacity	2	20,4573118929	131,5999416	195,896822342	13,0	382,0	 
program scholar	Scholars Program	Scholars Program	2	14,1627543874	104,640325787	174,46416534	5,0	217,0	 
support teacher	support teachers	support teachers|&|teacher support|&|supporting teachers|&|support teacher|&|support for teachers|&|support for all teachers	2	23,6045906457	153,73546181	274,419249002	12,0	388,0	 
alameda counti	Alameda County	Alameda County	2	14,1627543874	96,3156476199	260,995152891	9,0	342,0	 
gang member	gang members	gang members|&|gang member|&|member of a gang	2	34,6200662803	215,519104906	246,340282745	16,0	714,0	 
energi system	energy systems	energy systems|&|energy system|&|Energy Systems|&|system for energy	2	55,0773781733	312,049132875	246,184331691	28,0	938,0	 
individu student	individual student	individual student|&|individual students	2	40,9146237858	234,840027079	245,205774352	26,0	1000,0	 
male youth	male youth	male youth|&|male youths|&|Male Youth|&|Youth Male|&|youth male	2	23,6045906457	150,096798115	503,39973891	41,0	2017,0	 
global world	globalized world	globalized world|&|global world|&|world global	2	29,8991481512	184,317511506	183,665155548	17,0	669,0	 
dweller urban	urban dwellers	urban dwellers	2	14,1627543874	97,983779825	172,497614278	8,0	235,0	 
high product qualiti	high quality products	high quality products	3	23,8285416948	151,72520198	209,774783012	11,0	411,0	 
7th grade	7th grade	7th grade	2	23,6045906457	151,846086461	354,376528408	13,0	485,0	 
attend increas school	increase in school attendance	increase in school attendance|&|increased school attendance|&|increased attendance at school|&|increase school attendance|&|increased attendance in school	4	27,7999653106	170,308438829	492,142590442	14,0	604,0	 
mani peopl young	many young people	many young people|&|Many young people	3	53,6142188132	293,239267394	297,821264807	27,0	847,0	 
food world	World Food	World Food|&|world food|&|world on food|&|food of the world	2	14,1627543874	97,983779825	227,486995702	15,0	462,0	 
graduat low rate	low graduation rates	low graduation rates|&|low rates of graduation	3	13,8999826553	94,7889532019	228,272046182	7,0	475,0	 
door open	open doors	open doors|&|opening doors	2	25,1782300221	158,366132935	179,79204475	15,0	494,0	 
actual number	actual number	actual number	2	15,7363937638	105,359391683	182,132617478	10,0	330,0	 
environment issu	environmental issues	environmental issues|&|environmental issue	2	135,332986369	631,615409368	315,164254069	80,0	2744,0	 
polici work	policy work	policy work	2	15,7363937638	108,870866472	216,296614461	8,0	273,0	 
club school	school clubs	school clubs|&|school club|&|clubs in schools|&|schools and clubs	2	23,6045906457	151,846086461	172,886120551	13,0	638,0	 
incarcer rate	incarceration rates	incarceration rates|&|incarceration rate	2	70,813771937	372,493514289	307,887123651	56,0	2299,0	 
men white	white men	white men	2	25,1782300221	158,366132935	306,781906964	15,0	554,0	 
carbon credit	carbon credits	carbon credits|&|carbon credit	2	37,7673450331	226,684211312	317,341206651	20,0	529,0	 
engag speak	speaking engagements	speaking engagements	2	26,7518693984	168,264016243	212,495154773	15,0	481,0	 
base data	data base	data base|&|base data|&|data bases	2	47,2091812914	272,820839772	195,32362123	25,0	761,0	 
hygien sanit	sanitation and hygiene	sanitation and hygiene|&|Sanitation and Hygiene|&|hygiene and sanitation|&|hygienic sanitation|&|sanitation hygiene	3	25,1782300221	160,103251323	265,265670626	14,0	536,0	 
grade student	grade students	grade students|&|student grades|&|students grades|&|grade student|&|students in grades|&|grades student|&|student grade|&|grades of students|&|students between grade|&|students in these grades	2	69,2401325607	365,884398303	390,963860474	52,0	2174,0	 
develop intern	international development	international development|&|International Development|&|Development International	2	56,6510175496	315,198729184	278,813335605	31,0	1046,0	 
lot peopl	lot of people	lot of people|&|lots of people	3	40,9146237858	234,840027079	185,526283837	26,0	829,0	 
develop project	development projects	development projects|&|development project|&|project development|&|Development Project|&|project developers|&|developing projects|&|development of the project|&|projects development|&|development of projects|&|development of project|&|projects developing	2	173,100331402	763,872161165	313,375874726	115,0	3873,0	 
imag posit	positive images	positive images|&|positive image	2	39,3409844095	228,95667726	173,693022183	24,0	776,0	 
busi manag skill	business management skills	business management skills	3	13,8999826553	96,9316449778	247,969531883	6,0	186,0	 
georgia state	state of Georgia	state of Georgia|&|State of Georgia|&|Georgia State|&|Georgia state	3	29,8991481512	188,05978286	173,40714854	15,0	511,0	 
effici stove	efficient stoves	efficient stoves	2	14,1627543874	97,983779825	193,761318605	8,0	285,0	 
manag solid wast	solid waste management	solid waste management	3	19,857118079	132,761241658	871,512660568	8,0	218,0	 
educ entrepreneurship	entrepreneurship education	entrepreneurship education|&|education and entrepreneurship	2	34,6200662803	207,793860369	214,461153784	20,0	702,0	 
bill energi	energy bills	energy bills|&|energy bill	2	25,1782300221	163,984492598	207,192610114	12,0	345,0	 
big impact	big impact	big impact	2	18,8836725165	124,631463796	181,776053168	11,0	509,0	 
place safe	safe place	safe place	2	26,7518693984	164,915668189	184,635292764	17,0	647,0	 
non-government organ	non-governmental organizations	non-governmental organizations|&|non-governmental organization	2	33,046426904	198,348684898	196,790890938	20,0	794,0	 
boy men	men and boys	men and boys|&|boys and men|&|men or boys|&|boys & men|&|men from the boys|&|boys or men	3	44,0619025386	269,10729797	200,20469431	19,0	722,0	 
african american male young	young African American males	young African American males|&|African American young males	4	53,6142188132	304,219159846	871,604423373	22,0	1257,0	 
use youth	using youth	using youth|&|youth using|&|use youth|&|youth use|&|use of youth	2	14,1627543874	96,3156476199	177,154092246	9,0	326,0	 
educ session	education sessions	education sessions	2	15,7363937638	107,017386244	240,087865934	9,0	296,0	 
money seed	seed money	seed money	2	31,4727875276	192,21949855	170,591990959	18,0	753,0	 
keep track	keeping track	keeping track	2	14,1627543874	96,3156476199	180,138217117	9,0	456,0	 
latino student	Latino students	Latino students	2	26,7518693984	168,264016243	226,867581058	15,0	733,0	 
area impact	impact areas	impact areas|&|areas of impact|&|impact the areas|&|areas that impact|&|impact in areas|&|areas the impact	2	18,8836725165	122,988369448	172,859213843	12,0	418,0	 
citizen world	Citizens of the World	Citizens of the World|&|citizens of the world|&|world citizens|&|citizens around the world	4	17,3100331402	119,757953119	186,618599651	8,0	235,0	 
expert local	local experts	local experts	2	20,4573118929	133,237400236	177,932041087	12,0	470,0	 
crop food	food crops	food crops|&|food crop	2	34,6200662803	211,441448405	200,391731403	18,0	717,0	 
kind new	new kind	new kind	2	18,8836725165	126,431270019	181,039825935	10,0	309,0	 
enterpris medium	medium enterprises	medium enterprises|&|Medium Enterprises	2	34,6200662803	211,441448405	249,649872114	18,0	649,0	 
florida south	South Florida	South Florida	2	15,7363937638	108,870866472	175,333619163	8,0	238,0	 
food much	much food	much food	2	14,1627543874	96,3156476199	216,633009936	9,0	263,0	 
comprehens program	comprehensive program	comprehensive program|&|comprehensive programs	2	34,6200662803	204,494215627	228,823937986	22,0	851,0	 
age black men	Black men of all ages	Black men of all ages|&|Black men between the ages|&|black men between the ages|&|black men of all ages|&|Black men ages|&|black men ages	5	15,8856944632	106,208993326	305,134637091	8,0	371,0	 
impact measur program	measure the impact of the program	measure the impact of the program|&|measure the impact of this program|&|measure impact programs|&|program measure the impact|&|measure impact of program|&|measure the programs impact|&|measure the impact of programs	6	25,8142535027	160,056592321	294,733262003	13,0	457,0	 
incom sourc	source of income	source of income|&|income source|&|income sources|&|sources of income	3	66,0928538079	356,037995287	214,805249953	41,0	1492,0	 
action project	Action Project	Action Project|&|action projects|&|action project|&|project action	2	20,4573118929	135,017419113	251,92861019	11,0	318,0	 
colleg grad	college grads	college grads	2	22,0309512693	141,723014031	215,723396314	13,0	366,0	 
academ skill	academic skills	academic skills	2	34,6200662803	209,569637621	202,510314577	19,0	784,0	 
farmer smallhold	smallholder farmers	smallholder farmers|&|Smallholder farmers|&|smallholder farmer	2	157,363937638	865,713575955	307,420141117	34,0	1355,0	 
media other	other media	other media	2	22,0309512693	141,723014031	176,292460582	13,0	414,0	 
experi previou	previous experience	previous experience|&|previous experiences	2	17,3100331402	114,24550848	197,385579739	11,0	408,0	 
challeng face mani	face many challenges	face many challenges|&|challenges many face	3	13,8999826553	94,7889532019	218,678955009	7,0	249,0	 
mission similar	similar missions	similar missions|&|similar mission	2	14,1627543874	96,3156476199	203,771395334	9,0	294,0	 
base resourc	resource base	resource base|&|resource based|&|resources base|&|base of resources	2	18,8836725165	122,988369448	192,772422964	12,0	565,0	 
less time	less time	less time|&|time less	2	23,6045906457	148,468249626	175,102131718	15,0	398,0	 
decis support	decision support	decision support	2	15,7363937638	108,870866472	175,176038452	8,0	233,0	 
data sourc	data sources	data sources|&|sources of data|&|data source|&|source data|&|source of data	2	23,6045906457	150,096798115	179,842304982	14,0	473,0	 
abject poverti	abject poverty	abject poverty	2	48,7828206677	276,386374832	168,362639039	28,0	970,0	 
softwar solut	software solution	software solution|&|software solutions	2	15,7363937638	107,017386244	188,130686063	9,0	259,0	 
futur leader	future leaders	future leaders|&|Future Leaders|&|leaders for the future|&|leaders of the future	2	118,022953228	586,869436033	247,696584266	59,0	2140,0	 
financi incent	financial incentives	financial incentives|&|financial incentive	2	18,8836725165	124,631463796	186,105118978	11,0	426,0	 
renew sourc	renewable source	renewable source|&|renewable sources	2	14,1627543874	97,983779825	172,719465233	10,0	281,0	 
african-american men	African-American men	African-American men	2	56,6510175496	325,163114417	261,158159066	27,0	1103,0	 
access water	water access	water access|&|access in water	2	18,8836725165	124,631463796	191,238316809	11,0	333,0	 
fail school	failing schools	failing schools	2	14,1627543874	99,8749521417	170,667438906	7,0	420,0	 
school site	school site	school site|&|school sites|&|site school|&|site for school	2	14,1627543874	97,983779825	205,828256031	8,0	284,0	 
broader commun	broader community	broader community	2	20,4573118929	135,017419113	171,796258966	11,0	366,0	 
factor risk	risk factors	risk factors|&|risk factor	2	105,433838217	528,104409834	223,38909908	57,0	2395,0	 
local peopl	local people	local people	2	147,92210138	700,436942459	287,982430536	71,0	2576,0	 
age averag	average age	average age	2	15,7363937638	105,359391683	238,173330942	10,0	271,0	 
agent chang social	social change agents	social change agents|&|social agents of change|&|agents of social change	3	15,8856944632	110,779022832	206,388529102	6,0	324,0	 
econom situat	economic situation	economic situation	2	26,7518693984	168,264016243	211,09643999	15,0	483,0	 
fundament right	fundamental rights	fundamental rights|&|fundamental right	2	14,1627543874	99,8749521417	207,174638242	7,0	260,0	 
degre program	degree program	degree program|&|degree programs	2	18,8836725165	126,431270019	260,284554277	10,0	350,0	 
learn project servic	service learning projects	service learning projects	3	19,857118079	128,330253811	263,161796088	10,0	420,0	 
unemploy youth	youth unemployment	youth unemployment|&|unemployed youth|&|Youth unemployment|&|unemployed youths|&|unemployment among the youth|&|youths unemployment|&|unemployment among youth|&|unemployment of youth|&|unemployment among the youths|&|unemployment youth|&|unemployment amongst youth|&|youth and unemployment|&|unemployment among youths	2	223,456791446	948,409626855	688,86902067	148,0	4939,0	 
speci tree	tree species	tree species	2	15,7363937638	105,359391683	218,732623959	10,0	343,0	 
card credit	credit card	credit card|&|credit cards	2	34,6200662803	206,104741652	245,341594565	26,0	836,0	 
develop effort	development efforts	development efforts	2	29,8991481512	184,317511506	209,561405648	17,0	588,0	 
busi for-profit	for-profit business	for-profit business|&|for-profit businesses	2	28,3255087748	178,161899552	180,586498453	15,0	485,0	 
health insur	health insurance	health insurance|&|Health Insurance	2	72,3874113134	386,135632201	208,085564488	41,0	1279,0	 
govern ngo	government and NGOs	government and NGOs|&|NGOs and governments|&|government or NGOs	3	14,1627543874	96,3156476199	307,503828194	9,0	287,0	 
diarrheal diseas	diarrheal disease	diarrheal disease|&|diarrheal diseases	2	22,0309512693	147,503148356	283,448284818	10,0	293,0	 
gender issu	gender issues	gender issues|&|issues of gender	2	25,1782300221	158,366132935	183,609208114	15,0	437,0	 
build school	building schools	building schools|&|school buildings|&|buildings in a school	2	20,4573118929	131,5999416	192,724394973	13,0	401,0	 
boston public	Boston Public	Boston Public	2	14,1627543874	102,058150359	221,635516969	6,0	244,0	 
ga greenhous	greenhouse gas	greenhouse gas	2	15,7363937638	107,017386244	272,40031561	40,0	1340,0	 
defens fund	Defense Fund	Defense Fund	2	40,9146237858	239,856254963	385,305978639	27,0	1215,0	 
chang posit social	positive social change	positive social change|&|social positive change	3	31,7713889264	190,395737996	185,876519401	16,0	484,0	 
polici support	policy support	policy support|&|supportive policies|&|support policy|&|policies that support	2	17,3100331402	114,24550848	175,48124004	11,0	405,0	 
framework human right	human rights framework	human rights framework	3	15,8856944632	108,330232231	237,398639371	7,0	226,0	 
black father	Black fathers	Black fathers|&|black fathers|&|fathers in the Black	2	33,046426904	210,135517361	211,770453023	14,0	499,0	 
program summer	summer program	summer program|&|summer programs|&|Summer Program|&|programs by summer|&|programs per summer	2	84,9765263245	435,645183246	339,441743139	55,0	2279,0	 
high level unemploy	high levels of unemployment	high levels of unemployment|&|high level of unemployment|&|high unemployment levels	4	23,8285416948	149,651847755	183,859757566	12,0	420,0	 
issu polici	policy issues	policy issues|&|policy issue	2	23,6045906457	148,468249626	192,78959281	15,0	470,0	 
percentag student	percentage of students	percentage of students	3	23,6045906457	150,096798115	227,947159422	16,0	540,0	 
access free	free access	free access|&|access free	2	18,8836725165	122,988369448	195,472055436	12,0	439,0	 
health program	health programs	health programs|&|health program|&|Health program	2	69,2401325607	372,992185538	302,861341137	40,0	1536,0	 
counsel servic	counseling services	counseling services|&|counselling services	2	47,2091812914	269,187572029	180,726039644	30,0	1049,0	 
busi manag	business management	business management|&|Business Management|&|Business management	2	56,6510175496	309,965686605	200,589154108	42,0	1632,0	 
right women	women rights	women rights|&|rights of women|&|women right|&|rights women|&|rights and women	2	36,1937056567	212,180533236	242,676627401	24,0	951,0	 
challeng global	global challenges	global challenges	2	15,7363937638	108,870866472	176,849877026	8,0	202,0	 
