stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
popul total	total population	total population	2	122,743871358	484,047516954	214,295567516	74,0	10206,0	 
middl school	middle school	middle school|&|middle schools|&|Middle School|&|Middle school|&|school middle	2	287,976005877	943,930434233	881,704910194	160,0	23770,0	 
experi learn	learning experiences	learning experiences|&|learning experience|&|experience learning	2	64,5192144315	295,760012517	209,707400698	39,0	5902,0	 
intak	intake	intake|&|intakes|&|Intake	1	95,3141667791	415,987046839	187,961962942	95,0	13175,0	 
air	air	air|&|Air|&|Aires|&|airs	1	133,042691129	530,798361351	519,998486625	170,0	22701,0	 
employ	employment	employment|&|employers|&|Employment|&|employer|&|employability|&|employable|&|Employers|&|EMPLOYMENT|&|Employability|&|employ|&|employments	1	1347,30546166	2646,27522879	1040,66684104	1151,0	155250,0	 
dept	Dept	Dept|&|dept	1	93,3284549712	403,753523291	127,766737347	85,0	11536,0	 
marriag	marriage	marriage|&|marriages|&|Marriage	1	136,021258841	569,438688605	190,677520364	97,0	14392,0	 
aid	aid	aid|&|AIDS|&|Aid|&|aids|&|Aids|&|AID|&|aide|&|AIDs	1	665,213455646	1702,75690433	237,541088521	609,0	83414,0	 
health reproduct	reproductive health	reproductive health|&|Reproductive Health|&|Reproductive health	2	78,6819688189	362,726744505	395,057245543	41,0	5364,0	 
develop work	development work	development work|&|work towards the development|&|work on development|&|work on the development|&|development of this work|&|work through the development|&|work development|&|development of the work|&|work with the development	2	34,6200662803	180,131672946	146,988364332	25,0	3136,0	 
fresh fruit veget	fresh fruits and vegetables	fresh fruits and vegetables|&|fresh fruit and vegetables|&|fresh vegetables and fruits|&|fresh fruit or vegetables|&|fresh fruit & vegetables	4	31,7713889264	170,80231495	180,947284619	14,0	1899,0	 
citi inner	inner city	inner city|&|Inner City|&|inner cities|&|Inner city	2	133,759346992	551,153814719	287,66456769	62,0	9895,0	 
mexico	Mexico	Mexico	1	123,11413209	552,619407677	178,482847109	76,0	9674,0	 
job program train	job training program	job training program|&|job training programs	3	55,5999306211	276,360219282	175,344509451	21,0	2817,0	 
toolkit	toolkit	toolkit|&|toolkits|&|Toolkit	1	54,6070747172	270,140283736	172,666077534	43,0	5673,0	 
player	players	players|&|player|&|Players	1	156,871232824	628,69330975	147,797504039	132,0	18291,0	 
exit	exit	exit|&|Exit|&|exits	1	54,6070747172	264,133456632	230,448552069	78,0	10674,0	 
action collect	collective action	collective action	2	34,6200662803	187,447207775	237,022282961	17,0	2184,0	 
natur resourc	natural resources	natural resources|&|natural resource	2	206,146758306	752,951604357	443,837948817	102,0	14554,0	 
cycl poverti	cycle of poverty	cycle of poverty|&|poverty cycle|&|cycles of poverty	3	111,728395723	460,375539353	299,118100198	63,0	8780,0	 
inventori	inventory	inventory|&|inventories|&|Inventory	1	94,3213108752	416,685511265	157,394504022	77,0	11010,0	 
black male student	black male students	black male students|&|Black male students|&|black male student	3	160,84265644	627,955838222	846,773765171	61,0	8780,0	 
patent	patent	patent|&|patents|&|Patent	1	42,6928038698	237,913724725	222,913338102	23,0	2780,0	 
viabil	viability	viability	1	57,585642429	271,758124309	202,238770962	67,0	8599,0	 
career choic	career choices	career choices|&|career choice|&|career of choice|&|choice career	2	58,224656926	274,893865379	330,443196762	34,0	4707,0	 
patient	patients	patients|&|patient|&|Patients|&|Patient	1	539,120755844	1789,40197168	845,396157867	224,0	27589,0	 
big	Big	Big|&|BIG	1	58,578498333	294,023285579	190,847166327	72,0	10513,0	 
cost transport	transportation costs	transportation costs|&|transport costs|&|transportation cost|&|cost of transportation|&|cost transportation|&|costs for transportation|&|cost and transportation	2	37,7673450331	196,507279578	177,873753508	21,0	2558,0	 
right women	women rights	women rights|&|rights of women|&|rights women|&|rights and women	2	33,046426904	171,943869631	246,902022418	22,0	3405,0	 
fund rais	raising funds	raising funds|&|fund raising|&|raised funds|&|raising fund	2	62,9455750551	293,584687938	319,776695088	36,0	4553,0	 
complet	completion	completion|&|Completion|&|completions	1	242,256840564	806,300052813	700,133369071	363,0	52513,0	 
leadership role	leadership roles	leadership roles|&|leadership role|&|roles of leadership	2	78,6819688189	346,001991755	424,791803744	47,0	7190,0	 
cost energi	energy costs	energy costs|&|energy cost|&|energy at a cost|&|cost energy|&|cost of energy	2	51,9300994205	255,258150796	519,865849704	28,0	3515,0	 
adult male	adult males	adult males|&|adult male	2	33,046426904	177,037998804	231,407416268	18,0	2955,0	 
problem social	SOCIAL PROBLEM	SOCIAL PROBLEM|&|social problems|&|social problem|&|Social problems	2	9635,39390157	-4268,66793076	855,779441667	6009,0	747264,0	 
applic process	application process	application process|&|application processes	2	100,712920088	447,26206205	327,965746796	53,0	7626,0	 
rain	rain	rain|&|rains|&|Rain	1	74,4641927962	338,759973009	361,805645766	79,0	11834,0	 
hand	hand	hand|&|hands|&|handful|&|Hands|&|Hand|&|HAND	1	640,392058047	1549,95678076	170,197624801	622,0	82629,0	 
slovenia	Slovenia	Slovenia	1	33,7571007343	216,234426018	185,809321187	10,0	1278,0	 
scale	scale	scale|&|scales|&|Scale|&|SCALE	1	654,292040702	1594,63724419	681,266282931	761,0	100309,0	 
hygien	hygiene	hygiene|&|Hygiene	1	117,156996666	494,349452862	256,481040743	108,0	16689,0	 
abus child	child abuse	child abuse|&|abuse of child	2	61,3719356788	299,515101445	261,950322993	32,0	5139,0	 
target youth	target youth	target youth|&|targeting youth|&|targeted youth|&|target these youth|&|target the youth|&|youth targeted|&|target a youth	2	39,3409844095	197,835849008	142,94220455	25,0	3743,0	 
collabor project	collaborative projects	collaborative projects|&|project collaboration|&|collaborative project|&|collaboration projects|&|project in collaboration|&|projects collaboration|&|collaboration of projects	2	33,046426904	173,556210224	131,206224399	20,0	2525,0	 
extens servic	extension services	extension services|&|extension service|&|extension of services	2	50,3564600441	255,285537866	288,399018396	24,0	3124,0	 
ocean	ocean	ocean|&|Ocean|&|oceans	1	77,442760508	381,327666999	156,481254107	44,0	5599,0	 
admiss	admission	admission|&|admissions|&|Admission	1	104,249869915	442,256642223	547,910335133	112,0	15777,0	 
academia	academia	academia	1	55,5999306211	267,789452178	126,104146134	49,0	6829,0	 
mother	mothers	mothers|&|mother|&|Mothers|&|Mother	1	575,85642429	1647,95400486	681,66222655	411,0	60143,0	 
programm	programme	programme|&|programmes|&|Programme|&|programmers|&|Programmes|&|programmer|&|programms	1	555,006450307	1680,5654993	536,449033651	322,0	44397,0	 
alabama	Alabama	Alabama	1	47,6570833896	263,549844228	131,116493274	24,0	3365,0	 
self-awar	self-awareness	self-awareness|&|Self-Awareness	1	47,6570833896	239,205384878	209,965917926	40,0	5695,0	 
campu	campus	campus|&|Campus	1	208,499739829	786,817434034	438,9043825	159,0	21713,0	 
legisl	legislation	legislation|&|legislators|&|Legislative	1	104,249869915	439,887225005	251,607310632	89,0	12199,0	 
epa	EPA	EPA	1	39,714236158	208,199796426	217,631458354	32,0	4007,0	 
trainer	trainers	trainers|&|trainer|&|Trainers|&|Trainer	1	175,735494999	672,255300751	237,843333111	140,0	19194,0	 
carbon footprint	carbon footprint	carbon footprint|&|carbon footprints	2	102,286559465	441,448024505	326,390804621	51,0	6411,0	 
complet success	successful completion	successful completion|&|Successful completion	2	51,9300994205	249,972565361	170,095607852	31,0	4414,0	 
charlott	Charlotte	Charlotte	1	34,7499566382	190,753198876	190,125425045	25,0	3602,0	 
school work	school work	school work|&|work with schools|&|work or school|&|school and work|&|school we work|&|work with the school|&|schools that we work|&|work and school|&|work within each school|&|work as a school|&|work after school|&|work schools|&|work inside schools	2	51,9300994205	248,323852301	172,024650754	32,0	4098,0	 
laptop	laptop	laptop|&|laptops|&|Laptop	1	36,7356684461	193,751121349	149,946387706	31,0	3867,0	 
job opportun	job opportunities	job opportunities|&|job opportunity	2	158,937577014	590,45677329	445,712517558	107,0	14253,0	 
victim	victims	victims|&|victim|&|victimization|&|Victims	1	410,049488331	1320,05002564	238,061097496	271,0	38947,0	 
depart	Department	Department|&|department|&|departments|&|Departments	1	313,742465648	980,34702034	182,307419219	430,0	63654,0	 
agricultur sustain	sustainable agriculture	sustainable agriculture|&|Sustainable Agriculture|&|agriculture sustainable	2	77,1083294426	349,613063267	204,435801392	41,0	6228,0	 
human right	human rights	human rights|&|Human Rights|&|Human rights|&|human right|&|right human	2	388,688925966	1191,65769264	1022,88950204	192,0	26398,0	 
field work	field work	field work|&|work in the field|&|work in this field|&|work field|&|field of work|&|work in fields|&|work in the fields|&|work in these fields|&|work in a field|&|work in field	2	55,0773781733	258,43817999	169,044787334	35,0	5451,0	 
campaign	campaign	campaign|&|campaigns|&|Campaign|&|Campaigns|&|CAMPAIGN	1	757,549054713	1934,26914286	581,824606081	574,0	77430,0	 
first year	first year	first year|&|first years|&|years first	2	807,277000082	1701,52845901	203,409819855	533,0	70180,0	 
impact organ	impact of the organization	impact of the organization|&|impact of this organization|&|organization impact|&|impact of organization|&|organizations impact|&|impact the organization|&|impact organization|&|impact that the organization|&|impact of the organizations|&|impact the organizations|&|organizations that impact|&|impact this organization	4	34,6200662803	178,521146922	128,164034134	22,0	2696,0	 
spread	spread	spread	1	221,406866581	757,192958801	188,938033076	258,0	33493,0	 
board	board	board|&|Board|&|boards|&|Boards	1	351,470989998	1041,05010309	149,0826836	476,0	66258,0	 
altern energi	alternative energy	alternative energy	2	33,046426904	178,926880149	223,001131125	21,0	3174,0	 
har	harness	harness|&|harnesses	1	83,3998959317	365,078876227	221,767513262	83,0	10915,0	 
east	East	East	1	83,3998959317	380,724581102	279,487944352	216,0	30599,0	 
busi own	own business	own business|&|own businesses|&|owned businesses|&|owned business	2	199,8522008	703,526671059	420,724179488	113,0	14782,0	 
sanit	sanitation	sanitation|&|Sanitation	1	232,328281524	890,511059415	767,330511467	164,0	24012,0	 
applic	application	application|&|applications|&|applicants|&|applicant|&|Application|&|Applications|&|Applicants|&|applicability	1	725,777665787	1766,12286031	326,760852409	643,0	86920,0	 
extrem poverti	extreme poverty	extreme poverty|&|Extreme poverty	2	114,875674476	487,106108037	233,76869529	55,0	8645,0	 
preserv	preservation	preservation|&|Preservation|&|preservatives	1	82,4070400278	371,119341861	171,162515323	84,0	11145,0	 
famili incom low	low income families	low income families|&|families with low income	3	53,6142188132	263,996077153	236,706763287	22,0	2973,0	 
donat	donations	donations|&|donation|&|Donation|&|Donations	1	434,87088593	1350,73703859	579,824983955	289,0	37022,0	 
arab	Arab	Arab|&|Arabic|&|Arabs	1	64,5356337567	325,557859473	183,716465384	47,0	5664,0	 
leagu	League	League|&|league|&|leagues	1	66,5213455646	317,729743025	180,679498162	76,0	10410,0	 
birth	birth	birth|&|births|&|Birth	1	239,278272852	864,855324061	327,559983659	192,0	27351,0	 
fashion industri	fashion industry	fashion industry	2	55,0773781733	286,573116051	310,725270246	21,0	2548,0	 
energi renew	renewable energy	renewable energy|&|renewable energies|&|Renewable Energy|&|Renewable energy	2	155,790298261	616,48763088	919,935802026	75,0	9492,0	 
measur	measure	measure|&|measures|&|measurement|&|measurements|&|Measurement|&|measureable|&|Measures|&|Measure|&|Measurements|&|measurables	1	2084,99739829	2750,6062632	445,285608544	2387,0	313528,0	 
latino	Latinos	Latinos|&|latino	1	91,3427431633	431,064610973	144,597066602	61,0	8991,0	 
pipelin prison	prison pipeline	prison pipeline|&|Prison Pipeline|&|pipeline for prison	2	50,3564600441	253,229886731	169,058048249	25,0	4308,0	 
health problem	health problems	health problems|&|health problem|&|problems in health	2	114,875674476	462,732416952	198,913209457	75,0	10508,0	 
gift	gift	gift|&|gifts|&|Gift|&|Gifts	1	156,871232824	611,170167193	167,284587867	134,0	17815,0	 
workshop	workshops	workshops|&|workshop|&|Workshops|&|Workshop|&|WORKSHOPS	1	1667,99791863	3024,93644685	656,543019267	1129,0	154980,0	 
soap	soap	soap|&|soaps|&|Soap	1	89,3570313554	428,570651335	238,189869033	50,0	6035,0	 
microcredit	microcredit	microcredit|&|Microcredit	1	38,721380254	215,782215448	138,227291768	23,0	3336,0	 
literaci media	media literacy	media literacy|&|Media Literacy	2	62,9455750551	321,785861737	294,290789298	26,0	3703,0	 
night	night	night|&|nights|&|Night	1	154,885521016	596,05694078	137,741291802	140,0	19350,0	 
delinqu	delinquency	delinquency|&|delinquents|&|Delinquency	1	46,6642274856	234,22193936	292,037031716	59,0	8987,0	 
environ learn	learning environment	learning environment|&|learning environments	2	64,5192144315	297,435930494	318,300074754	38,0	5076,0	 
attorney	attorneys	attorneys|&|attorney|&|Attorney|&|Attorneys	1	146,942673784	641,313363877	199,89381139	83,0	11017,0	 
right	rights	rights|&|right|&|Rights|&|RIGHTS|&|RIGHT	1	953,141667791	2054,66411708	388,185364765	1021,0	137338,0	 
crowd	crowd	crowd	1	51,6285070053	254,218444666	198,187959769	50,0	6493,0	 
board member	board members	board members|&|board member|&|Board member|&|Board members|&|members of the Board|&|member Board|&|member of the board	2	97,5656413355	406,857033989	239,613846959	59,0	8334,0	 
disord	disorders	disorders|&|disorder|&|Disorder|&|Disorders	1	79,4284723159	366,470167349	216,411752386	90,0	12297,0	 
new ventur	new ventures	new ventures|&|new venture	2	36,1937056567	186,635744509	165,153783214	22,0	2879,0	 
percentag	percentage	percentage|&|percentages|&|Percentage	1	265,092526354	850,131890132	157,026174688	348,0	46794,0	 
intern	interns	interns|&|intern|&|INTERNATIONAL|&|Interns|&|internalize	1	204,528316213	767,463116697	148,442252375	149,0	21198,0	 
self-confid	self-confidence	self-confidence	1	49,6427951974	242,234102433	167,929487446	50,0	7358,0	 
measur number	measure the number	measure the number|&|measure number|&|measure through number|&|measure by the number	3	91,27108383	387,015811865	211,571631469	55,0	6967,0	 
heritag	heritage	heritage|&|Heritage	1	109,214149434	495,154683868	162,375933409	79,0	12041,0	 
busi idea	business idea	business idea|&|business ideas|&|business around the idea|&|idea as a business|&|idea for the business	2	146,348462003	567,564911648	435,097824719	79,0	10247,0	 
fair-trad	fair-trade	fair-trade	1	36,7356684461	201,653381669	187,402554951	25,0	3324,0	 
decis maker	decision makers	decision makers|&|decision maker	2	78,6819688189	358,690887115	127,134317661	43,0	6157,0	 
cooper	cooperatives	cooperatives|&|cooperation|&|Cooperative|&|Cooperation|&|Cooper|&|Cooperatives	1	320,692456976	1045,92112782	247,304151702	243,0	33227,0	 
career colleg	college careers	college careers|&|college career|&|college and career|&|college and careers|&|college or careers|&|college & career|&|careers or college	2	33,046426904	171,943869631	362,729423523	21,0	2698,0	 
market opportun	market opportunity	market opportunity|&|market opportunities|&|opportunity market	2	34,6200662803	183,596568915	222,129439426	19,0	2636,0	 
bottom	bottom	bottom|&|Bottom	1	85,3856077396	368,330816889	205,914812806	149,0	20053,0	 
microfin	microfinance	microfinance|&|Microfinance	1	154,885521016	643,441922072	492,188486713	113,0	16147,0	 
time year	years time	years time|&|year time|&|times a year|&|times per year|&|years at a time|&|years of the time|&|time per year|&|time throughout the year|&|years with time|&|time until a year|&|time of the year|&|year for this time	2	158,937577014	588,756889952	148,354012486	106,0	13928,0	 
green space	green space	green space|&|green spaces	2	36,1937056567	195,967535401	230,895329096	17,0	2265,0	 
practic sustain	sustainable practices	sustainable practices|&|practice sustainable|&|sustainable practice	2	39,3409844095	201,116163586	176,891597105	23,0	3192,0	 
energi save	energy savings	energy savings|&|energy saving|&|saving energy	2	45,635541915	231,352518692	385,749497173	24,0	2705,0	 
condit	conditions	conditions|&|condition|&|Conditions	1	502,385087398	1351,20998114	267,954081412	527,0	74584,0	 
chang world	change the world	change the world|&|changing world|&|change in the world|&|world change|&|change this world	3	73,9610506898	326,832493784	212,793688721	46,0	6043,0	 
financ person	personal finance	personal finance|&|personal finances	2	39,3409844095	213,008190653	126,036396564	17,0	2610,0	 
ict	ICT	ICT|&|ICTs	1	158,856944632	663,320495401	369,242434713	99,0	12624,0	 
core	core	core|&|Core	1	384,235234828	1114,29788533	280,699035813	560,0	78229,0	 
bold	Bold	Bold|&|boldness	1	39,714236158	201,374894738	136,726493944	52,0	6413,0	 
permacultur	permaculture	permaculture|&|Permaculture	1	40,7070920619	225,115491944	239,797502164	25,0	3252,0	 
insecur	insecurity	insecurity|&|insecurities|&|Insecurity	1	40,7070920619	205,351880591	307,564759225	95,0	13814,0	 
activ develop	development activities	development activities|&|development of these activities|&|activities development	2	44,0619025386	221,576150889	156,654830426	33,0	5174,0	 
black women	Black women	Black women|&|black women|&|Black Women	2	70,813771937	345,594347821	315,959374527	29,0	3641,0	 
confer	conferences	conferences|&|conference|&|Conference|&|Conferences	1	417,992335563	1210,9415059	278,685533151	363,0	48784,0	 
discount	discounts	discounts|&|discount	1	62,5499219488	295,185548818	220,903384454	54,0	6695,0	 
agenc develop	development agencies	development agencies|&|Development Agency	2	44,0619025386	223,374845633	123,409493781	24,0	3415,0	 
corp	Corps	Corps|&|Corp|&|corps|&|corp	1	141,978394265	603,952814028	178,69610758	129,0	17542,0	 
promot	promotion	promotion|&|Promotion|&|promotions|&|promoters|&|promoter	1	294,878203473	951,732505592	149,829713064	253,0	36275,0	 
peer	peer	peer|&|peers|&|Peer|&|Peers	1	626,492075392	1618,54225844	1025,73646687	585,0	84152,0	 
institut research	research institutions	research institutions|&|Research Institute|&|research institutes|&|Institute Research|&|Institute for Research	2	58,224656926	274,893865379	232,342685964	34,0	4771,0	 
chapter	chapters	chapters|&|chapter|&|Chapters|&|Chapter	1	167,792647767	693,566275639	184,830694182	105,0	14974,0	 
game video	video games	video games|&|video game	2	69,2401325607	357,042293843	141,146553314	22,0	2907,0	 
exist organ	existing organizations	existing organizations|&|existing organization	2	81,8292475717	354,778853695	123,524460655	50,0	6757,0	 
commun initi	community initiatives	community initiatives|&|community initiative|&|Community Initiative|&|community until the initiatives|&|initiative the community	2	34,6200662803	180,131672946	143,358404431	22,0	2970,0	 
surround	surroundings	surroundings	1	37,7285243501	196,628837331	159,502370218	33,0	4276,0	 
nairobi	Nairobi	Nairobi	1	81,4141841238	367,872321005	136,720022458	72,0	9807,0	 
festiv	festivals	festivals	1	38,721380254	206,806537007	138,2070619	39,0	6382,0	 
dinner	dinner	dinner|&|dinners|&|Dinner	1	70,4927691804	322,930828111	170,445403944	62,0	8190,0	 
high school	high school	high school|&|high schools|&|High School|&|High school|&|High Schools	2	1302,97340364	2411,40370287	2920,97370887	731,0	104207,0	 
entrepreneur social	social entrepreneurs	social entrepreneurs|&|social entrepreneur|&|Social Entrepreneurs|&|entrepreneurs social	2	212,441315811	775,94249304	899,490479712	99,0	13983,0	 
america latin	Latin America	Latin America	2	130,612068239	536,095651991	182,165327746	72,0	10459,0	 
commit	commitment	commitment|&|commitments|&|Commitment	1	413,028056043	1167,89893765	125,440845459	395,0	57938,0	 
produc	producers	producers|&|producer|&|produce|&|Producers|&|Producer	1	320,692456976	1073,32276085	639,465308001	237,0	32968,0	 
fertil soil	soil fertility	soil fertility|&|fertility of soil	2	48,7828206677	247,307864808	150,967984469	24,0	3646,0	 
inform technolog	information technology	information technology|&|Information Technology|&|information of technology	2	75,5346900662	342,478102792	313,160973345	41,0	5633,0	 
civic	Civic	Civic|&|civics|&|Civics	1	83,3998959317	390,547674019	207,305383725	65,0	9169,0	 
energi system	energy systems	energy systems|&|energy system|&|Energy Systems|&|system for energy	2	55,0773781733	270,728341753	365,50570189	28,0	4071,0	 
profession	professionals	professionals|&|Professionals|&|professionalism|&|professionalize	1	480,542257511	1332,68263657	341,442289032	521,0	72202,0	 
mba	MBA	MBA|&|MBAs	1	49,6427951974	253,042504751	196,724593526	53,0	6909,0	 
curios	curiosity	curiosity	1	37,7285243501	192,312303611	177,730103819	37,0	4832,0	 
creativ	creativity	creativity|&|Creative|&|Creativity|&|creatives	1	358,420981326	1129,51185911	393,469084524	278,0	38636,0	 
opportun	opportunities	opportunities|&|opportunity|&|Opportunity|&|Opportunities|&|OPPORTUNITIES|&|OPPORTUNITY	1	2344,13278922	2994,57403327	574,606333597	2344,0	315200,0	 
card report	report cards	report cards|&|report card|&|Report Card	2	100,712920088	418,288760476	367,421000499	64,0	9103,0	 
storag	storage	storage	1	68,5070573725	317,231925557	274,697456524	71,0	9161,0	 
fabric	fabric	fabric|&|fabrics|&|fabrication	1	102,264158107	459,030637022	240,457951751	72,0	9068,0	 
support	support	support|&|Support|&|supporters|&|SUPPORT|&|supporter|&|Supporters	1	2751,20370984	3263,81929095	342,833120186	2550,0	342534,0	 
experi work	work experience	work experience|&|work experiences|&|experience at work|&|work and experience	2	121,170231981	486,318677968	255,942675677	69,0	9652,0	 
transform	transformation	transformation|&|transformative|&|Transformation|&|Transformative|&|transformations	1	274,02822949	927,633068522	245,280071395	251,0	34019,0	 
class	classes	classes|&|class|&|Classes|&|Class|&|CLASS	1	1211,28420282	2436,07315126	759,884385688	1035,0	140571,0	 
avail	availability	availability|&|avail|&|Availability	1	186,656909942	660,336032074	207,412832153	202,0	27628,0	 
lago	Lagos	Lagos	1	42,6928038698	232,679487834	165,271546665	32,0	3850,0	 
activ particip	active participation	active participation|&|active participants|&|active participant	2	102,286559465	423,133796932	195,256201815	63,0	8635,0	 
offer support	offer support	offer support|&|offer the support	2	34,6200662803	180,131672946	158,294313966	21,0	2860,0	 
commun target	target communities	target communities|&|target community|&|targeted communities|&|targeted community	2	132,185707616	523,08041408	201,729963674	73,0	10793,0	 
commun global	global community	global community|&|global communities	2	51,9300994205	251,67534412	140,200381764	30,0	4220,0	 
analysi	analysis	analysis|&|Analysis	1	355,442413614	1063,18358737	177,155423155	377,0	54133,0	 
medium	medium	medium|&|mediums|&|Medium	1	179,706918615	651,757277985	164,5384064	198,0	26815,0	 
black histori	Black History	Black History|&|black history	2	33,046426904	177,037998804	159,429184137	18,0	3209,0	 
offer	offer	offer|&|offerings	1	1354,25545299	2334,01463902	306,650860096	1288,0	173706,0	 
oil	oil	oil|&|Oil|&|oils	1	202,542604406	795,802018636	381,136471954	136,0	17840,0	 
children street	street children	street children	2	61,3719356788	293,473643628	230,204086307	32,0	3924,0	 
heat	heat	heat	1	59,5713542369	293,328974614	489,14036734	47,0	5785,0	 
commun sens	sense of community	sense of community|&|community sense	3	36,1937056567	188,319476262	128,368136137	21,0	2651,0	 
solar	Solar	Solar	1	78,435616412	360,59280427	729,436885083	79,0	9401,0	 
erad poverti	poverty eradication	poverty eradication|&|Poverty eradication|&|eradicating poverty|&|Poverty Eradication|&|eradication of poverty|&|eradication poverty	2	47,2091812914	228,795767382	188,891479439	30,0	4230,0	 
environment justic	environmental justice	environmental justice	2	39,3409844095	220,64647939	156,104532624	14,0	1834,0	 
innov social	social innovation	social innovation|&|social innovators|&|social innovations|&|Social Innovation	2	92,8447232063	414,406199533	332,7980464	44,0	5425,0	 
low-incom student	low-income students	low-income students	2	67,6664931843	321,491294282	334,495554101	33,0	4706,0	 
economi local	local economy	local economy|&|local economies	2	124,317510734	493,659426619	158,783605051	75,0	11066,0	 
africa east	East Africa	East Africa	2	127,464789487	519,194085594	605,753312075	65,0	8662,0	 
commun individu	individuals and communities	individuals and communities|&|community individuals|&|communities and individuals|&|individuals and community|&|community of individuals|&|individuals in the community|&|individuals communities|&|individuals in the communities|&|individuals within the community|&|individuals from communities|&|individuals in community|&|individuals from the community|&|individuals but communities|&|individuals in communities|&|community with individuals	3	56,6510175496	270,898747965	189,585889909	32,0	4717,0	 
disabl peopl	people with disabilities	people with disabilities|&|disabled people|&|people with disability|&|disabilities and people|&|people without a disability|&|people with a disability	3	102,286559465	477,0751179	164,830775291	36,0	4330,0	 
level poverti	poverty level	poverty level|&|poverty levels|&|level of poverty|&|levels poverty	2	160,511216391	596,302879956	369,114591278	101,0	14759,0	 
retir	retirement	retirement	1	40,7070920619	207,494853896	127,364635783	41,0	5499,0	 
impact measur number	measure impact by the number	measure impact by the number|&|measure the impact by the number|&|measure the impact by number|&|measure impact by number|&|measure on impact over the number|&|measure impact in a number|&|measure impact through number	5	37,7285243501	191,306150002	136,763202322	19,0	2135,0	 
address challeng	address the challenges	address the challenges|&|address challenges|&|address the challenge|&|address these challenges|&|address this challenge|&|address any challenges|&|address a challenge	3	45,635541915	222,716357485	215,876179494	29,0	4168,0	 
featur	features	features|&|feature|&|Feature|&|Features	1	330,621016015	1007,96467038	305,790130036	294,0	37837,0	 
increas knowledg	increase knowledge	increase knowledge|&|increased knowledge|&|increasing knowledge|&|increase in knowledge|&|increase this knowledge	2	40,9146237858	204,144582245	145,663954041	26,0	3789,0	 
petit	petition	petition|&|petitions	1	37,7285243501	207,103473066	171,866425981	27,0	3594,0	 
tournament	tournaments	tournaments|&|tournament	1	41,6999479659	224,178038371	152,414300055	33,0	4946,0	 
chang social	social change	social change|&|Social Change|&|social changes|&|Social change|&|change social	2	443,766304139	1280,85619531	343,682486905	234,0	33249,0	 
case manag	case management	case management|&|case managers|&|case manager|&|Case Management|&|Case Managers	2	143,20118325	594,754331302	464,019151664	67,0	10007,0	 
drive	drive	drive|&|drives|&|Drive	1	347,499566382	1047,52049281	131,572195963	316,0	44429,0	 
access lack	lack access	lack access|&|lack of access|&|Lack of access	2	262,797775855	843,756937902	725,471874902	170,0	23790,0	 
subsist	subsistence	subsistence|&|Subsistence	1	49,6427951974	245,582076123	265,51620346	72,0	11992,0	 
fatherhood	fatherhood	fatherhood|&|Fatherhood	1	116,164140762	526,664527387	601,61698825	72,0	10555,0	 
desir	desire	desire|&|desires|&|Desire	1	416,999479659	1158,67234319	161,706118533	381,0	55544,0	 
trip	trips	trips|&|trip|&|Trip|&|Trips	1	281,971076722	943,726514185	346,96733834	327,0	47173,0	 
nj	NJ	NJ	1	53,6142188132	267,782182853	217,782451703	41,0	5798,0	 
level read	reading levels	reading levels|&|reading level	2	34,6200662803	185,468379699	156,085142359	18,0	2518,0	 
high school senior	high school seniors	high school seniors|&|senior high schools	3	49,6427951974	242,234102433	154,773946483	23,0	3544,0	 
american nativ	Native American	Native American|&|Native Americans	2	42,4882631622	213,662716929	152,99199023	25,0	4492,0	 
care take	taking care	taking care	2	44,0619025386	216,582673402	157,744751605	28,0	4829,0	 
nc	NC	NC	1	91,3427431633	438,094443587	164,51966887	50,0	6915,0	 
excel	excellence	excellence|&|Excellence|&|Excel	1	127,085555705	514,028572925	311,733613235	129,0	18286,0	 
actor	actors	actors|&|actor|&|Actors	1	138,006970649	556,907053789	232,240491553	128,0	17303,0	 
ny	NY	NY|&|NYS	1	120,135564378	508,275137739	155,306993446	101,0	14710,0	 
educ reform	education reform	education reform|&|reform education	2	48,7828206677	238,076106277	268,576974698	29,0	4161,0	 
role	role	role|&|roles|&|Role	1	621,527795872	1537,51845389	409,697224288	845,0	123677,0	 
groceri store	grocery stores	grocery stores|&|grocery store	2	97,5656413355	431,140736481	218,164302432	46,0	6465,0	 
test	test	test|&|tests|&|Test|&|Tests	1	511,320790534	1403,37309619	676,292820643	546,0	76228,0	 
transmiss	transmission	transmission	1	33,7571007343	180,292878416	139,26030761	35,0	4617,0	 
knowledg lack	lack of knowledge	lack of knowledge|&|lack knowledge|&|lack the knowledge|&|lack this knowledge	3	75,5346900662	330,571649346	254,016043911	48,0	6815,0	 
outreach	outreach	outreach|&|Outreach|&|outreaches|&|OUTREACH	1	413,028056043	1212,95693787	228,092179252	482,0	66916,0	 
diet	diet	diet|&|diets	1	109,214149434	457,213545595	314,849481797	111,0	15537,0	 
journey	journey	journey|&|journeys|&|Journey	1	190,628333558	708,708634795	188,206667503	150,0	21441,0	 
volunt work	volunteer work	volunteer work|&|volunteers work|&|Volunteer Work|&|volunteer and work|&|work with volunteers	2	66,0928538079	302,973671359	358,963570979	43,0	5562,0	 
