stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"	
methodolog	methodology	methodology|&|methodologies|&|Methodology|&|Methodologies	1	171,764071383	496,324878956	346,200776419	136	7986	w	
metric	metrics	metrics|&|Metrics	1	21,8428298869	104,296429655	185,932682716	23	1201	w	
mfa	mfa	mfa|&|MFA	1	90,3498872594	306,156419793	1413,08296127	68	4335	w	
microstructur	microstructure	microstructure|&|microstructures	1	5,9571354237	38,7777342081	152,549386494	3	135	w	
middl	middle	middle|&|Middle	1	5,9571354237	35,7346767894	156,846297431	9	529	w	
mile	miles	miles|&|mile	1	5,9571354237	35,7346767894	107,199922083	6	395	w	
millennium	millennium	millennium|&|Millennium	1	4,9642795197	32,3147785068	174,260911753	8	502	w	
million	Millions	Millions|&|millions	1	5,9571354237	34,648562585	219,045943172	6	250	w	
mind	mind	mind	1	4,9642795197	29,7788973245	161,980782145	5	229	w	
minim	minimization	minimization	1	8,9357031355	48,3497280396	152,437613464	13	740	w	
mission	mission	mission	1	4,9642795197	29,7788973245	120,563190791	5	265	w	
mix	mix	mix	1	14,8928385592	72,9752365193	104,70392077	21	1414	w	
mixtur	mixture	mixture|&|mixtures	1	7,9428472316	47,6462357192	112,009529868	5	385	w	
mode	mode	mode|&|modes	1	46,6642274856	189,117240989	166,574338396	47	2511	w	
model	model	model|&|models|&|Model|&|MODEL|&|Models	1	406,078064715	850,588758719	119,269682642	313	16938	w	
modem	modem	modem	1	10,9214149434	59,0941120483	140,774582692	9	519	w	
modern	modernization	modernization|&|Modern|&|modernity	1	7,9428472316	43,9130686939	170,889779873	14	748	w	
modif	modification	modification|&|modifications	1	12,9071267513	65,0922257105	111,299752315	13	707	w	
modul	module	module|&|modules	1	15,8856944632	81,3850425648	143,362667317	12	695	w	
moment	moment	moment|&|moments	1	5,9571354237	35,7346767894	146,715232719	5	296	w	
money	money	money	1	4,9642795197	29,7788973245	152,126625173	5	230	w	
moral	morale	morale	1	4,9642795197	30,8866442863	249,602945144	4	177	w	
mortar	mortar	mortar	1	4,9642795197	34,3276206389	127,474975135	2	138	w	
motor	motors	motors|&|motor	1	16,8785503671	95,5690873104	168,844640975	8	477	w	
move	move	move|&|moves	1	25,8142535027	117,804630354	132,51170081	25	1339	w	
multicriteria	multicriteria	multicriteria|&|Multicriteria	1	9,9285590395	57,7476043083	130,304975344	7	387	w	
multidisciplinari	multidisciplinary	multidisciplinary	1	10,9214149434	57,9434261382	132,446240261	12	733	w	
multimedia	multimedia	multimedia|&|Multimedia|&|MULTIMEDIA	1	24,8213975987	121,625394199	234,805773814	15	707	w	
multivari	multivariate	multivariate|&|Multivariate	1	7,9428472316	46,1980834466	319,185782584	10	396	w	
name	name	name|&|names	1	4,9642795197	29,7788973245	121,529139726	7	330	w	
nation	nations	nations|&|Nations|&|nation	1	13,8999826553	71,2119122442	189,384508141	18	1050	w	
natur	nature	nature|&|Nature	1	61,5570660448	221,650929148	162,913140603	63	3311	w	
necess	necessity	necessity|&|necessities	1	20,8499739829	97,2366312545	137,9925037	19	1035	w	
neighborhood	neighborhood	neighborhood|&|neighborhoods	1	12,9071267513	68,478594527	149,643858121	10	537	w	
network	network	network|&|networks|&|Network|&|Networks	1	199,564036694	582,073278147	374,960930769	148	7775	w	
nexu	nexus	nexus	1	4,9642795197	32,3147785068	149,601716585	3	160	w	
node	nodes	nodes|&|node	1	15,8856944632	84,2813471101	253,159678191	13	708	w	
nonlinear	nonlinear	nonlinear	1	4,9642795197	30,8866442863	117,240700569	4	222	w	
norm	norms	norms|&|norm|&|NORMS	1	13,8999826553	70,0993199959	290,799571774	13	555	w	
note	note	note|&|notes	1	5,9571354237	35,7346767894	133,88012787	5	224	w	
notion	notion	notion|&|notions	1	15,8856944632	78,9362519638	113,5094727	14	693	w	
novel	novel	novel	1	26,8071094066	121,088510527	127,375111874	34	2003	w	
number	numbers	numbers	1	7,9428472316	43,9130686939	183,17964095	10	541	w	
nutrient	nutrients	nutrients	1	6,9499913276	41,6904562543	135,708683964	5	337	w	
oblig	obligation	obligation|&|obligations	1	8,9357031355	50,5953991644	180,505900799	7	368	w	
obstacl	obstacles	obstacles|&|obstacle|&|Obstacles	1	15,8856944632	78,9362519638	146,77788584	14	638	w	
occup	occupation	occupation|&|occupations|&|occupancy	1	22,8356857908	111,895362663	267,554875891	15	757	w	
off-sit	off-site	off-site	1	4,9642795197	32,3147785068	160,679781696	3	121	w	
offic	office	office|&|offices|&|OFFICE|&|Office|&|officers	1	86,3784636436	296,596428626	1366,79714619	109	4857	w	
one	ones	ones|&|oneness	1	21,8428298869	101,866947028	113,380323984	21	1204	w	
open	Open	Open|&|openness	1	6,9499913276	40,4233230158	161,111808194	6	316	w	
operation	operationalize	operationalize|&|operationalization	1	5,9571354237	35,7346767894	160,595592387	5	300	w	
oper	operations	operations|&|operation|&|operators|&|operator|&|Operation	1	101,271302203	330,57654704	213,737251436	97	5518	w	
opinion	opinions	opinions|&|opinion	1	10,9214149434	57,9434261382	108,025649949	10	465	w	
opportun	opportunities	opportunities|&|opportunity|&|Opportunities	1	101,271302203	317,053649024	211,818310035	114	5920	w	
optimis	optimisation	optimisation|&|optimisations	1	9,9285590395	54,8913358673	133,159503897	8	496	w	
optim	optimization	optimization|&|Optimization|&|optimizations|&|OPTIMIZATION|&|optimizes|&|optimism	1	56,5927865251	220,400614487	255,548097716	49	2829	w	
option	options	options|&|option|&|Options|&|Option	1	89,3570313554	306,823891682	121,747407706	78	4680	w	
order	order	order	1	197,578324886	485,011439374	147,977344036	175	9386	w	
ore	ore	ore|&|ores	1	20,8499739829	106,817868366	233,473157783	15	936	w	
organis	organisations	organisations|&|organisation|&|Organisation|&|Organisations	1	46,6642274856	187,802668777	398,069952154	51	2176	w	
organ	organizations	organizations|&|organization|&|organisms|&|Organizations|&|Organization|&|ORGANIZATION|&|Organic|&|organizer|&|ORGANIZATIONS	1	196,585468982	524,181347675	1187,47468468	169	7630	w	
orient	orientation	orientation|&|orientations	1	15,8856944632	81,3850425648	217,466793948	14	626	w	
origin	origin	origin|&|origins	1	8,9357031355	48,3497280396	123,080274582	9	554	w	
originality/valu	Originality/value	Originality/value	1	16,8785503671	80,5926956427	606,956580914	17	1034	w	
countri other	other countries	other countries	2	14,1627543874	70,1096971055	191,15553905	9	488	w	
method other	other methods	other methods	2	6,2945575055	36,2643122592	122,243265312	4	257	w	
other	others	others|&|Others	1	34,7499566382	140,83198797	151,871300321	37	1945	w	
outcom	outcomes	outcomes|&|outcome|&|OUTCOMES	1	62,5499219488	231,187588442	381,446570358	63	3389	w	
outlin	outlines	outlines|&|outline	1	19,857118079	92,6063154804	105,445144649	21	1169	w	
outlook	outlook	outlook|&|Outlook	1	7,9428472316	44,9736881461	130,074911589	7	444	w	
output	output	output|&|outputs	1	31,7713889264	134,735355301	251,034874574	41	2459	w	
overtim	overtime	overtime	1	4,9642795197	29,7788973245	311,664504945	5	162	w	
overview	overview	overview	1	28,7928212145	122,103915742	122,969884671	31	1742	w	
ownership	ownership	ownership	1	7,9428472316	44,9736881461	123,201395332	9	480	w	
pair	pair	pair|&|pairs	1	7,9428472316	47,6462357192	159,884947843	5	279	w	
paradigm	paradigm	paradigm|&|paradigms	1	32,7642448303	146,540639989	159,41366017	37	1878	w	
paradox	paradox	paradox|&|Paradox|&|paradoxes	1	11,9142708474	67,4605322191	167,742530087	7	338	w	
paramet	parameters	parameters|&|parameter	1	50,6356511014	205,212325328	148,822146302	50	3155	w	
parenthood	parenthood	parenthood	1	7,9428472316	51,7036456108	159,737666215	3	152	w	
parent	parents	parents|&|PARENTS	1	7,9428472316	44,9736881461	204,087804627	8	301	w	
park	parks	parks|&|park|&|Park|&|Parks	1	37,7285243501	165,597902197	465,389140091	47	2473	w	
ii part	Part II	Part II	2	6,2945575055	36,2643122592	164,200839695	4	234	w	
particip	participants	participants|&|participation|&|Participants|&|participant	1	64,5356337567	239,830671484	251,57070894	52	2708	w	
particl	particles	particles|&|particle|&|Particle	1	6,9499913276	41,6904562543	107,572654573	6	370	w	
attent particular	particular attention	particular attention	2	7,8681968819	43,5746529293	223,263716447	5	353	w	
partner	partners	partners|&|partner|&|Partners	1	16,8785503671	83,8697677115	122,554675668	17	959	w	
partnership	partnership	partnership|&|partnerships	1	19,857118079	98,6703149547	149,731076217	14	936	w	
pattern	patterns	patterns|&|pattern	1	81,4141841238	284,721548973	202,518411013	88	5143	w	
peak	peak	peak	1	6,9499913276	39,3519771278	152,000452865	7	424	w	
penetr	penetration	penetration|&|Penetration	1	7,9428472316	43,9130686939	119,968493713	10	598	w	
peopl	people	people|&|peoples|&|People	1	72,4784809883	252,293085014	337,647502536	67	3422	w	
percent	percent	percent	1	9,9285590395	56,2171101826	125,873293018	7	336	w	
percept	perceptions	perceptions|&|perception|&|Perceptions	1	54,6070747172	206,383660103	524,901240845	48	2377	w	
perform	performance	performance|&|performances|&|Performance	1	147,935529688	432,850627192	284,608255763	195	10830	w	
period	period	period|&|periods|&|Periodicals	1	59,5713542369	222,610477155	250,345474512	62	3803	w	
person	persons	persons|&|personality|&|person|&|personalities	1	16,8785503671	82,7052680552	165,95196729	17	668	w	
perspect	perspective	perspective|&|perspectives|&|Perspectives|&|Perspective|&|PERSPECTIVES	1	135,028402937	376,430916659	125,491683886	168	9371	w	
phase	phase	phase|&|phases|&|Phase	1	33,7571007343	144,340896225	403,502810896	64	3717	w	
phd	PhD	PhD	1	6,9499913276	41,6904562543	121,063010825	5	216	w	
phenomenon	phenomenon	phenomenon	1	8,9357031355	48,3497280396	178,094358149	12	631	w	
philosophi	philosophy	philosophy	1	4,9642795197	29,7788973245	195,262446018	5	194	w	
pilot	pilot	pilot|&|pilots|&|PILOT	1	16,8785503671	85,1206028521	204,214272629	19	893	w	
pioneer	pioneers	pioneers|&|pioneer	1	4,9642795197	30,8866442863	237,979763633	4	176	w	
pitfal	pitfalls	pitfalls	1	4,9642795197	30,8866442863	245,291883471	4	153	w	
place	place	place|&|places	1	49,6427951974	190,969482875	231,032285926	58	3002	w	
plan	plan	plan|&|plans|&|Plan|&|Plans	1	31,7713889264	134,735355301	146,943370678	37	2168	w	
planet	planet	planet	1	8,9357031355	48,3497280396	120,333612184	9	437	w	
planner	planners	planners	1	9,9285590395	54,8913358673	113,086479093	11	683	w	
plant	plant	plant|&|plants|&|Plant	1	46,6642274856	201,22713045	251,996955088	38	2416	w	
plastic	plastics	plastics|&|plastic	1	22,8356857908	110,421581273	134,271440409	16	1049	w	
platform	platform	platform|&|platforms|&|PLATFORM	1	39,714236158	171,257132298	199,519901883	31	1647	w	
player	players	players	1	4,9642795197	29,7788973245	140,110474571	5	219	w	
plc	PLC	PLC	1	13,8999826553	86,4826040016	114,566558621	4	170	w	
point	point	point|&|points|&|Point|&|Points	1	67,5142014685	236,110552807	150,34383426	79	4814	w	
polici	policy	policy|&|policies|&|Policy|&|Policies	1	196,585468982	528,439683179	208,448865089	220	12469	w	
policy-mak	policy-makers	policy-makers	1	6,9499913276	39,3519771278	159,115597402	7	492	w	
polit	politics	politics	1	9,9285590395	59,5577946491	123,915087623	5	235	w	
popul	population	population|&|populations|&|Population	1	46,6642274856	189,117240989	236,086900266	53	3376	w	
portfolio	portfolio	portfolio|&|portfolios	1	10,9214149434	60,380469454	125,122318571	8	541	w	
posit	position	position|&|positions|&|posit|&|posits	1	23,8285416948	106,575010901	135,850879221	25	1159	w	
possibl	possibility	possibility|&|possibilities	1	59,5713542369	213,427512401	163,448965169	58	2799	w	
power	power	power|&|Power|&|powers	1	72,4784809883	263,660789102	246,969697894	76	4050	w	
pp	PP	PP	1	9,9285590395	61,7732885726	172,654956572	4	209	w	
practic	practices	practices|&|practice|&|practicability|&|PRACTICE|&|Practice|&|Practices	1	156,871232824	439,874961133	430,786496015	178	8943	w	
practition	practitioners	practitioners|&|Practitioners	1	20,8499739829	97,2366312545	126,355448096	21	1137	w	
praxi	praxis	praxis|&|Praxis	1	4,9642795197	29,7788973245	123,76655758	5	147	w	
predict	predictions	predictions|&|prediction|&|Prediction	1	11,9142708474	63,2110103326	146,786914403	12	627	w	
prefer	preferences	preferences|&|preference|&|Preference|&|Preferences	1	21,8428298869	104,296429655	233,433833671	19	953	w	
premis	premises	premises|&|premise	1	9,9285590395	52,6758419438	141,68545853	10	543	w	
prerequisit	prerequisite	prerequisite|&|prerequisites	1	4,9642795197	29,7788973245	127,456124108	5	288	w	
presenc	presence	presence|&|Presence	1	11,9142708474	61,0387819236	210,010927646	13	691	w	
preserv	preservation	preservation|&|Preservation	1	6,9499913276	43,2413020008	184,057016307	6	309	w	
pressur	pressure	pressure|&|pressures|&|Pressure	1	36,7356684461	153,337802345	136,746066663	45	2404	w	
prestep	prestep	prestep	1	4,9642795197	37,7685969915	129,010874539	1	60	w	
preval	prevalence	prevalence	1	7,9428472316	46,1980834466	194,763174915	6	239	w	
price	price	price|&|prices	1	31,7713889264	135,850255271	138,785407278	36	2267	w	
principl	principles	principles|&|principle|&|Principle	1	72,4784809883	255,887795969	269,963391628	87	4746	w	
priorit	prioritization	prioritization|&|prioritize	1	6,9499913276	40,4233230158	141,873584121	6	418	w	
prioriti	priority	priority|&|priorities	1	18,864262175	91,2178280079	135,489207814	23	1491	w	
proactiv	proactive	proactive|&|proactivity|&|PROACTIVE	1	15,8856944632	78,9362519638	135,937161279	16	911	w	
probabl	probability	probability	1	8,9357031355	50,5953991644	124,28530027	7	380	w	
problem	problems	problems|&|problem|&|Problem|&|PROBLEMS|&|Problems	1	180,699774519	488,394884075	184,120861156	178	9271	w	
procedur	procedures	procedures|&|procedure|&|Procedures|&|Procedure	1	57,585642429	228,642989203	173,560270801	45	2521	w	
process	process	process|&|processes|&|Process|&|PROCESS|&|Processes|&|PROCESSES	1	334,592439631	739,419009404	233,544388346	346	18999	w	
procur	procurement	procurement|&|Procurement	1	10,9214149434	63,5223647391	129,880955524	6	334	w	
produc	producer	producer|&|producers|&|Producer|&|Producers	1	28,7928212145	128,778138172	161,855304849	27	1724	w	
product	production	production|&|product|&|products|&|productivity|&|Production|&|Products|&|Product|&|PRODUCTS|&|Productivity|&|PRODUCT|&|productions|&|PRODUCTION	1	514,299358246	951,027161818	478,610847333	526	30366	w	
profession	professionals	professionals|&|professionalism	1	23,8285416948	111,127578577	409,978870911	28	1370	w	
profit	profitability	profitability|&|profit|&|profits	1	11,9142708474	63,2110103326	124,160241363	10	525	w	
program	program	program|&|programs|&|Program|&|Programable	1	55,5999306211	215,194114844	157,535591165	58	3199	w	
programm	programme	programme|&|programmes|&|Programme|&|Programmes	1	46,6642274856	206,72338482	155,707690985	31	1825	w	
project	project	project|&|projects|&|Project|&|projections|&|projection|&|Projects	1	173,749783191	488,633327176	244,556105199	148	7602	w	
prolifer	proliferation	proliferation	1	4,9642795197	29,7788973245	106,040673564	5	297	w	
promot	promotion	promotion|&|promotable	1	18,864262175	87,9759997064	120,931315594	21	1039	w	
propens	propensity	propensity	1	10,9214149434	61,8388212009	283,617220034	7	287	w	
properti	properties	properties|&|property	1	36,7356684461	161,240062666	120,278435041	34	1939	w	
proport	proportion	proportion|&|proportions	1	16,8785503671	81,6159513755	150,870958617	17	849	w	
prospect	prospects	prospects|&|prospect|&|Prospects|&|PROSPECTS	1	20,8499739829	98,3639314113	141,772016708	23	1218	w	
prosper	prosperity	prosperity	1	4,9642795197	29,7788973245	165,460415501	5	277	w	
protect	protection	protection|&|Protection	1	12,9071267513	66,1253470839	189,937205701	25	1371	w	
protocol	protocol	protocol|&|protocols|&|Protocol	1	12,9071267513	66,1253470839	137,48034203	12	549	w	
provid	providers	providers|&|provider	1	7,9428472316	43,9130686939	150,177500174	8	514	w	
provinc	Province	Province|&|province	1	4,9642795197	29,7788973245	159,364204136	9	544	w	
proxim	proximity	proximity	1	9,9285590395	53,721920044	127,038250063	12	635	w	
public	Public	Public|&|publications|&|publication	1	12,9071267513	65,0922257105	175,914437557	16	889	w	
purchas	purchase	purchase|&|purchases	1	12,9071267513	68,478594527	127,801575861	12	816	w	
purpos	purpose	purpose|&|Purpose|&|purposes	1	76,4499046041	254,685676847	220,562120185	82	4708	w	
pursuit	pursuit	pursuit	1	5,9571354237	34,648562585	176,478434412	6	312	w	
qualiti	quality	quality|&|Quality|&|qualities|&|QUALITY	1	82,4070400278	273,394647155	140,814638531	116	6205	w	
quantif	quantification	quantification|&|quantifications|&|Quantification	1	15,8856944632	76,8150130593	111,725720188	16	1000	w	
quantifi	quantifies	quantifies|&|quantifiable	1	7,9428472316	43,9130686939	142,898484811	8	518	w	
quantiti	quantities	quantities|&|quantity	1	26,8071094066	119,896887264	108,234770827	28	1928	w	
question	question	question|&|questions|&|Questions	1	84,3927518357	283,523944219	196,199527687	81	4500	w	
questionnair	questionnaire	questionnaire|&|questionnaires	1	28,7928212145	125,248071432	272,037686295	31	1493	w	
rail	rail	rail	1	6,9499913276	41,6904562543	131,834855336	5	313	w	
railway	railway	railway|&|railways	1	4,9642795197	32,3147785068	149,536643016	3	168	w	
rank	ranks	ranks|&|Rank	1	4,9642795197	30,8866442863	153,830220293	4	189	w	
rate	rates	rates	1	24,8213975987	113,273683033	120,898764595	29	1727	w	
ratio	ratio	ratio|&|ratios|&|Ratio	1	10,9214149434	57,9434261382	163,577791451	12	710	w	
ration	rationality	rationality	1	4,9642795197	29,7788973245	144,394195888	5	250	w	
re	re	re|&|RES	1	4,9642795197	30,8866442863	117,605485101	4	184	w	
reaction	reactions	reactions|&|reaction|&|REACTIONS	1	10,9214149434	63,5223647391	154,512074409	7	334	w	
reactor	reactors	reactors|&|reactor	1	5,9571354237	37,0639731435	156,293523179	4	243	w	
readi	readiness	readiness	1	7,9428472316	49,418630858	240,185986598	5	173	w	
realis	realisation	realisation|&|realise	1	8,9357031355	48,3497280396	121,297762044	9	466	w	
realiti	reality	reality|&|realities	1	17,8714062711	85,3334424452	144,990848905	22	1247	w	
realiz	realization	realization|&|realizations	1	7,9428472316	43,9130686939	115,388165644	8	422	w	
reason	reasons	reasons|&|reason	1	38,721380254	156,92707231	117,106163487	41	2151	w	
recoveri	recovery	recovery|&|Recovery	1	43,6856597738	174,618322123	241,812654797	51	3087	w	
recruit	recruitment	recruitment	1	5,9571354237	41,1931447667	149,87777107	2	102	w	
reduct	reduction	reduction|&|reductions|&|Reduction|&|Reductions	1	83,3998959317	276,688558567	241,431199865	133	7837	w	
refer	reference	reference|&|references|&|Reference	1	24,8213975987	113,273683033	140,931856483	25	1389	w	
reflect	reflections	reflections|&|reflection|&|Reflections	1	11,9142708474	61,0387819236	186,471881182	14	709	w	
regim	regimes	regimes|&|regime|&|Regimes	1	14,8928385592	80,5828800659	125,482874557	9	449	w	
region	regions	regions|&|region|&|Region|&|Regions	1	92,3355990673	317,051354738	157,316543875	85	4943	w	
regress	regression	regression|&|regressions|&|Regression	1	8,9357031355	50,5953991644	277,956796961	18	1084	w	
regul	regulations	regulations|&|regulation|&|Regulation|&|regulators	1	39,714236158	160,950843394	175,486376615	41	2393	w	
activ relat	related activities	related activities|&|activity related	2	7,8681968819	43,5746529293	159,643615287	5	285	w	
issu relat	related issues	related issues	2	6,2945575055	36,2643122592	117,180112854	4	177	w	
relat	relation	relation|&|relations	1	74,4641927962	260,41605089	240,248385145	68	3532	w	
relationship	relationship	relationship|&|relationships|&|Relationships	1	142,971250169	411,855046883	426,902072684	130	6371	w	
rel term	relative terms	relative terms	2	6,2945575055	36,2643122592	170,747376111	4	256	w	
releas	release	release|&|releases	1	28,7928212145	139,22721117	134,984515847	18	1131	w	
inform relev	relevant information	relevant information|&|relevance of information	2	9,4418362583	50,5681332296	126,478391656	6	315	w	
reliabl	reliability	reliability|&|Reliable	1	27,7999653106	129,648841673	115,358015072	24	1331	w	
replac	replacement	replacement|&|Replacement	1	16,8785503671	86,4716077251	125,365386644	12	678	w	
report	reports	reports	1	25,8142535027	113,303827819	166,513065669	32	1519	w	
represent	representation	representation|&|representations	1	14,8928385592	76,2984774045	104,818701033	14	690	w	
repres	representative	representative|&|representativeness|&|representatives	1	11,9142708474	61,0387819236	134,812085735	19	1095	w	
request	requests	requests|&|request	1	5,9571354237	37,0639731435	206,936712109	4	230	w	
research	research	research|&|Research|&|researchers|&|RESEARCH|&|Researchers	1	300,835338897	656,760300681	495,194399637	344	17687	w	
find research	research findings	research findings|&|Research findings	2	6,2945575055	36,2643122592	151,948166009	6	341	w	
reserv	reserves	reserves|&|reserve	1	4,9642795197	29,7788973245	121,515093922	6	357	w	
resid	residents	residents|&|residence|&|resident|&|residences|&|Residence|&|Residents	1	14,8928385592	77,5943237948	172,627585142	13	733	w	
resist	resistance	resistance	1	6,9499913276	40,4233230158	138,589372659	8	378	w	
resolut	resolution	resolution|&|Resolution	1	7,9428472316	44,9736881461	119,184495901	7	487	w	
resourc	resource	resource|&|resources|&|Resource|&|Resources|&|RESOURCES	1	196,585468982	521,392854553	318,605216587	297	17285	w	
respond	respondents	respondents|&|respondent|&|Respondent	1	16,8785503671	87,9402336342	250,010625028	11	507	w	
respons	responsibility	responsibility|&|response|&|responsibilities|&|responses|&|responsiveness|&|Responsibility	1	86,3784636436	284,235597606	174,547203239	107	6023	w	
rest	rest	rest	1	4,9642795197	29,7788973245	208,902329892	7	419	w	
restor	restoration	restoration	1	8,9357031355	58,1666013122	216,494061708	3	143	w	
result	results	results|&|Results	1	429,90660641	746,298268154	237,474487215	403	22602	w	
retent	retention	retention	1	6,9499913276	43,2413020008	164,320937885	4	291	w	
retrospect	retrospective	retrospective	1	4,9642795197	29,7788973245	106,069958435	7	315	w	
return	return	return|&|returns	1	11,9142708474	62,0754590359	147,162236361	13	718	w	
reus	reuse	reuse	1	6,9499913276	41,6904562543	173,641613359	5	252	w	
revenu	revenue	revenue|&|revenues	1	5,9571354237	35,7346767894	160,986057382	5	326	w	
revers	reverse	reverse	1	4,9642795197	32,3147785068	134,424750111	3	206	w	
review	reviews	reviews	1	20,8499739829	99,5556828528	114,717068205	19	972	w	
revolut	revolution	revolution|&|Revolution	1	5,9571354237	34,648562585	191,740091824	12	542	w	
reward	reward	reward|&|rewards	1	15,8856944632	98,8372617161	124,179538572	4	192	w	
rfid	RFID	RFID|&|rfid	1	7,9428472316	49,418630858	104,540244271	4	269	w	
right	rights	rights|&|right|&|Rightness	1	266,085382258	545,806079805	167,125850477	263	14338	w	
rise	rise	rise|&|Rise	1	21,8428298869	99,6808410687	140,951641086	26	1372	w	
risk	risk	risk|&|risks|&|Risk	1	74,4641927962	276,727697866	233,898124956	62	3319	w	
river	river	river|&|River	1	7,9428472316	46,1980834466	114,32964465	7	454	w	
road	road	road|&|ROAD	1	18,864262175	93,736799207	152,085882805	21	1167	w	
roadmap	roadmap	roadmap	1	6,9499913276	41,6904562543	163,757577772	5	211	w	
roadway	roadway	roadway|&|roadways	1	4,9642795197	34,3276206389	120,855854394	2	177	w	
robust	robustness	robustness	1	5,9571354237	34,648562585	137,799466483	6	330	w	
role	role	role|&|roles|&|Role|&|ROLE	1	138,999826553	393,223379146	235,791410672	155	8011	w	
room	room	room|&|rooms	1	13,8999826553	70,0993199959	168,844503006	15	801	w	
routin	routines	routines|&|routinize	1	4,9642795197	29,7788973245	145,790510893	5	204	w	
rt	RT	RT	1	11,9142708474	82,3862895334	150,268924601	2	108	w	
rubber	rubber	rubber	1	5,9571354237	41,1931447667	131,308184672	2	120	w	
rule	rules	rules|&|rule	1	17,8714062711	85,3334424452	135,574591492	20	1067	w	
sale	sales	sales	1	21,8428298869	105,620642957	126,298905891	17	897	w	
sampl	sample	sample|&|samples	1	36,7356684461	151,04107524	452,375757376	41	1928	w	
satisfact	satisfaction	satisfaction|&|SATISFACTION	1	44,6785156777	186,491921771	1191,31793739	50	2327	w	
save	savings	savings|&|Savings	1	22,8356857908	104,21178839	217,341861233	38	2304	w	
scale	scale	scale|&|scales|&|Scale	1	73,4713368922	268,672077083	106,606995039	65	4038	w	
scarciti	scarcity	scarcity	1	8,9357031355	48,3497280396	161,668978719	13	840	w	
scenario	scenarios	scenarios|&|scenario|&|Scenarios|&|Scenario	1	119,142708474	388,913584753	193,719399609	97	5958	w	
schedul	schedule	schedule|&|schedules|&|SCHEDULES	1	18,864262175	93,736799207	327,696004838	23	1065	w	
scheme	scheme	scheme|&|schemes|&|Scheme	1	40,7070920619	174,058139566	127,962368099	30	1511	w	
scholar	scholars	scholars|&|Scholars	1	7,9428472316	46,1980834466	163,481745098	6	222	w	
school	schools	schools|&|school|&|School	1	15,8856944632	81,3850425648	163,802630845	14	596	w	
sci	SCI	SCI	1	8,9357031355	61,78971715	220,415413647	2	105	w	
scienc	science	science|&|Science|&|sciences	1	104,249869915	319,502646787	199,982646216	116	6074	w	
score	score	score|&|scores	1	17,8714062711	88,8032834593	106,022230919	14	752	w	
scotland	Scotland	Scotland|&|scotland	1	4,9642795197	32,3147785068	169,331231576	4	216	w	
scrap	scrap	scrap|&|scraps|&|Scrap	1	30,7785330224	152,93898818	355,024550955	19	1162	w	
sd	SD	SD	1	10,9214149434	65,513574114	166,616743197	5	269	w	
search	search	search|&|searches	1	12,9071267513	65,0922257105	168,063677703	16	912	w	
seawat	seawater	seawater	1	5,9571354237	37,0639731435	180,079047333	4	220	w	
section	section	section|&|sections	1	10,9214149434	57,9434261382	104,732776847	10	598	w	
sector	sector	sector|&|sectors|&|Sector|&|Sectors|&|SECTOR	1	120,135564378	369,473648986	181,468755802	158	9296	w	
secur	security	security|&|Security	1	20,8499739829	99,5556828528	176,406996017	19	918	w	
self	self	self	1	9,9285590395	54,8913358673	212,509215814	10	471	w	
sens	sense	sense	1	18,864262175	87,9759997064	165,546473361	21	1211	w	
sensit	sensitivity	sensitivity|&|Sensitivity|&|sensitivities	1	11,9142708474	63,2110103326	211,998698344	23	1497	w	
sensor	sensor	sensor|&|sensors|&|Sensor	1	5,9571354237	35,7346767894	273,201466288	12	546	w	
separ	separation	separation	1	9,9285590395	52,6758419438	122,085710937	13	796	w	
sequestr	sequestration	sequestration	1	5,9571354237	34,648562585	262,82784153	6	373	w	
seri	series	series	1	20,8499739829	95,1498937474	150,169060798	29	1657	w	
server	server	server|&|servers|&|Server|&|Servers	1	31,7713889264	149,887895484	192,978678802	18	971	w	
servic	services	services|&|service|&|Service|&|Services|&|SERVICE|&|SERVICES	1	186,656909942	526,480831799	276,725436749	187	10050	w	
session	session	session|&|sessions	1	5,9571354237	37,0639731435	142,627403379	4	215	w	
set	settings	settings	1	10,9214149434	59,0941120483	140,340524124	13	654	w	
settlement	settlement	settlement|&|settlements|&|SETTLEMENT	1	10,9214149434	65,513574114	116,018283417	7	393	w	
shape	shape	shape|&|shapes	1	13,8999826553	70,0993199959	128,334292407	13	601	w	
sheet	sheet	sheet|&|sheets	1	5,9571354237	34,648562585	104,76918928	6	319	w	
shop	shop	shop	1	4,9642795197	30,8866442863	158,616348084	6	306	w	
sidewalk	sidewalk	sidewalk|&|sidewalks	1	17,8714062711	123,5794343	124,994706947	2	226	w	
signific	significance	significance	1	9,9285590395	52,6758419438	123,239348722	10	423	w	
similar	similarities	similarities|&|similarity	1	5,9571354237	34,648562585	200,138022996	8	303	w	
simul	simulation	simulation|&|simulations|&|Simulation|&|SIMULATION|&|simulators|&|simulative	1	36,7356684461	158,412847375	161,408297291	38	2068	w	
situat	situation	situation|&|situations	1	51,6285070053	192,929080201	135,820571345	56	2932	w	
size	size	size|&|sizes	1	25,8142535027	113,303827819	123,014601002	30	1704	w	
skill	skills	skills|&|skill|&|Skills	1	30,7785330224	132,724277531	219,295403957	30	1438	w	
slab	slabs	slabs|&|SLAB	1	11,9142708474	77,5554684162	136,072719644	3	261	w	
