stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
electron equip	electronic equipment	electronic equipment|&|Electronic Equipment	2	88,1238050772	317,398402571	437,06099403	52,0	2560,0	 
portion signific	significant portion	significant portion	2	6,29455750551	38,8165356986	158,744413801	4,0	232,0	 
charg state	charge state	charge state|&|state of charge	2	6,29455750551	40,627367047	161,155107732	3,0	76,0	 
program telework	telework programs	telework programs	2	15,7363937638	101,568417617	201,225049416	3,0	273,0	 
health human	human health	human health	2	58,224656926	241,735918102	524,044617236	31,0	1839,0	 
corpor environment manag	corporate environmental management	corporate environmental management	3	11,9142708474	65,8696030408	184,084473165	6,0	253,0	 
separ wast	waste separation	waste separation|&|separation waste	2	6,29455750551	38,8165356986	160,833141504	4,0	344,0	 
resourc sustain use	sustainable resource use	sustainable resource use	3	11,9142708474	65,8696030408	156,830400038	6,0	203,0	 
exist product	existing products	existing products|&|existing product	2	9,44183625827	54,3964683888	190,769076335	6,0	314,0	 
categori	categories	categories|&|category|&|Category	1	70,4927691804	276,274749387	539,301182797	106,0	7173,0	 
major sourc	major source	major source|&|major sources	2	15,7363937638	82,6222274877	242,770424678	10,0	659,0	 
china eastern	eastern China	eastern China	2	6,29455750551	38,8165356986	213,665463968	4,0	265,0	 
end user	end users	end users|&|end user	2	18,8836725165	99,1466729853	207,70935222	10,0	717,0	 
oxid stress	oxidative stress	oxidative stress	2	6,29455750551	40,627367047	201,862983555	3,0	98,0	 
assess cycl hybrid life	hybrid life cycle assessment	hybrid life cycle assessment|&|Hybrid Life Cycle Assessment	4	15,8856944632	83,2561078822	347,644893733	8,0	318,0	 
and/or peer-review respons select	Selection and/or peer-review under responsibility	Selection and/or peer-review under responsibility	5	11,9142708474	65,8696030408	181,671406337	6,0	366,0	 
implement option	implementation options	implementation options|&|implementation of these options|&|options implementation	2	6,29455750551	38,8165356986	171,359472491	4,0	327,0	 
risk	risk	risk|&|risks|&|Risk|&|RISK|&|Risks	1	122,121276186	410,275825164	170,662900532	174,0	8749,0	 
rise	rise	rise|&|Rise	1	38,721380254	171,536425701	159,221433259	47,0	2658,0	 
materi raw	raw materials	raw materials	2	53,5037387969	229,792138686	334,007639701	32,0	2098,0	 
voic	voice	voice|&|Voice	1	4,96427951974	31,7917394567	159,94979914	5,0	170,0	 
distort	distortions	distortions|&|distortion	1	5,95713542369	37,0639731435	155,271143236	6,0	292,0	 
potabl water	potable water	potable water	2	6,29455750551	40,627367047	188,966945205	3,0	188,0	 
assess methodolog	assessment methodology	assessment methodology|&|assessment methodologies	2	6,29455750551	38,8165356986	223,933147809	10,0	638,0	 
carbon dioxid equival	carbon dioxide equivalent	carbon dioxide equivalent|&|carbon dioxide equivalents	3	11,9142708474	65,8696030408	420,008014905	13,0	1043,0	 
govern	government	government|&|governance|&|governments|&|Government|&|Governance|&|Governments	1	189,635477654	559,603347266	316,202896766	207,0	11484,0	 
capac sorption	sorption capacity	sorption capacity	2	6,29455750551	43,1795904865	156,815034769	2,0	90,0	 
in-us stock	in-use stock	in-use stock|&|in-use stocks|&|In-Use Stock|&|stock of in-use	2	25,1782300221	129,79582235	158,050604945	15,0	847,0	 
ecosystem industri	industrial ecosystem	industrial ecosystem|&|industrial ecosystems	2	42,4882631622	184,148412468	807,232166316	25,0	907,0	 
approach interdisciplinari	interdisciplinary approach	interdisciplinary approach|&|interdisciplinary approaches	2	11,0154756347	61,7645033959	217,007999375	7,0	311,0	 
school	schools	schools|&|school|&|School|&|Schools	1	85,3856077396	337,53735878	515,130391769	80,0	3705,0	 
physic properti	physical properties	physical properties	2	11,0154756347	65,4709051201	196,871431806	5,0	327,0	 
scholar	scholars	scholars	1	8,93570313554	53,0253181185	161,938062482	8,0	387,0	 
eros soil	soil erosion	soil erosion|&|Soil erosion	2	22,0309512693	109,890984158	249,536290076	13,0	813,0	 
light rail	light rail	light rail	2	6,29455750551	40,627367047	162,39296402	5,0	345,0	 
electron structur	electronic structure	electronic structure|&|electronic structures	2	11,0154756347	63,4625464536	224,760097902	6,0	230,0	 
photoelectron spectroscopi x-ray	X-ray photoelectron spectroscopy	X-ray photoelectron spectroscopy	3	5,95713542369	37,0639731435	209,741012259	3,0	138,0	 
real time	real time	real time	2	15,7363937638	84,2802220493	182,10163048	9,0	560,0	 
agenda research	research agenda	research agenda	2	11,0154756347	61,7645033959	167,359894751	7,0	423,0	 
design organ	organization design	organization design	2	7,86819688189	48,5206696233	236,097371105	4,0	164,0	 
energi footprint	energy footprint	energy footprint	2	6,29455750551	38,8165356986	180,142486269	4,0	70,0	 
pesticid	pesticide	pesticide|&|pesticides|&|Pesticide	1	32,7642448303	164,404592559	168,491746776	29,0	1461,0	 
design implement	design and implementation	design and implementation|&|implementation of design	3	7,86819688189	46,7649322286	189,782365088	5,0	266,0	 
speci	species	species|&|Species	1	130,064123417	462,922928557	294,144792066	113,0	6496,0	 
co2 evolut rate	rates of CO2 evolution	rates of CO2 evolution	4	5,95713542369	39,4793837021	177,202913841	2,0	100,0	 
number signific	significant number	significant number	2	7,86819688189	46,7649322286	169,405460026	5,0	283,0	 
direct	Directive	Directive|&|direction|&|directions|&|directive|&|directives	1	55,5999306211	230,313610558	175,235432775	88,0	4807,0	 
execut time	execution time	execution time|&|times of execution|&|execution times	2	6,29455750551	40,627367047	156,548516707	3,0	170,0	 
manur	manure	manure	1	15,8856944632	87,8261373877	158,677717504	25,0	1359,0	 
analysi cycl life	life cycle analysis	life cycle analysis|&|Life Cycle Analysis|&|Life cycle analysis	3	103,257014011	347,887997629	919,407668759	52,0	2362,0	 
exergi	exergy	exergy|&|Exergy	1	51,6285070053	224,582748775	206,225455647	65,0	2371,0	 
dialogu	dialogue	dialogue	1	18,864262175	100,084099693	165,870375096	16,0	974,0	 
environment innov	environmental innovations	environmental innovations|&|environmental innovation	2	14,1627543874	77,5203320494	299,043892613	8,0	384,0	 
allow emiss	emission allowances	emission allowances	2	6,29455750551	40,627367047	287,334951751	3,0	65,0	 
decis design	design decisions	design decisions	2	6,29455750551	40,627367047	208,814897455	3,0	222,0	 
gift pupil	gifted pupils	gifted pupils|&|Gifted pupils	2	11,0154756347	71,0978923322	163,057379927	3,0	140,0	 
increas use	increased use	increased use|&|increasing use|&|increase the use|&|increase in the use|&|increase of the use|&|use increases	2	31,4727875276	150,452130615	165,122420672	16,0	993,0	 
emiss futur	future emissions	future emissions	2	6,29455750551	40,627367047	210,075024034	3,0	184,0	 
option technolog	technology options	technology options|&|technological options	2	11,0154756347	65,4709051201	233,081644225	6,0	359,0	 
conduct	conduct	conduct|&|conductivity|&|conductance|&|conductive	1	35,7428125422	159,348222407	185,256256408	44,0	2626,0	 
plant power	power plant	power plant|&|power plants|&|Power Plants|&|POWER PLANT	2	56,6510175496	237,123072309	1254,24824368	49,0	2640,0	 
topolog	topologies	topologies|&|topology	1	5,95713542369	38,150087348	185,26886952	5,0	288,0	 
metadata	metadata	metadata	1	6,94999132764	43,2413020008	179,416745441	6,0	303,0	 
surfac temperatur	surface temperature	surface temperature	2	6,29455750551	43,1795904865	266,46652826	2,0	119,0	 
equilibrium model	equilibrium model	equilibrium model	2	7,86819688189	46,7649322286	158,000005334	9,0	454,0	 
assess cycl life method	life cycle assessment method	life cycle assessment method|&|methods within life cycle assessment|&|methods of life cycle assessment	4	7,94284723159	47,1336161053	190,913052835	4,0	268,0	 
co2 emiss reduc	reducing CO2 emissions	reducing CO2 emissions|&|reduced CO2 emissions|&|reducing emissions of CO2	3	19,857118079	99,6391470057	286,004314929	10,0	582,0	 
china	China	China|&|china|&|CHINA	1	340,549575054	863,999388473	263,838514606	278,0	13962,0	 
treatment water	water treatment	water treatment|&|water before treatment	2	12,589115011	70,588003881	214,663322985	7,0	527,0	 
air impact pollut	air pollution impacts	air pollution impacts|&|air pollution impact	3	9,92855903949	56,7015262081	156,384769364	5,0	367,0	 
vehicle-to-vehicl	vehicle-to-vehicle	vehicle-to-vehicle|&|Vehicle-to-Vehicle	1	4,96427951974	31,7917394567	218,938983396	9,0	432,0	 
technolog use	use technologies	use technologies|&|use of technology|&|using technology|&|use of technologies|&|use this technology|&|use these technologies|&|use of these technologies|&|technologies we use	2	15,7363937638	82,6222274877	185,213424662	10,0	555,0	 
physic stock	physical stock	physical stock|&|physical stocks	2	6,29455750551	40,627367047	218,622569931	3,0	192,0	 
acceptor	acceptor	acceptor|&|acceptors	1	7,94284723159	48,1942355575	268,422089213	10,0	501,0	 
environment impact term	terms of environmental impact	terms of environmental impact|&|terms of environmental impacts|&|terms of the environmental impact	4	9,92855903949	56,7015262081	195,97309058	5,0	354,0	 
soil water	soil water	soil water|&|soil and water|&|water and soil	2	9,44183625827	56,1179186744	199,13402451	7,0	440,0	 
carbon emiss	carbon emissions	carbon emissions|&|carbon emission|&|Carbon Emissions	2	94,4183625827	347,627218436	637,36093795	53,0	2860,0	 
pastur	pasture	pasture|&|pastures	1	31,7713889264	170,754693573	160,470601339	15,0	1035,0	 
network pipelin	pipeline network	pipeline network	2	6,29455750551	43,1795904865	211,839170452	2,0	179,0	 
loop	loop	loop|&|loops	1	21,8428298869	107,521217662	171,864111691	32,0	1695,0	 
scaveng	scavengers	scavengers|&|scavenger	1	6,94999132764	44,5084352394	174,241809001	6,0	122,0	 
complex theori	complexity theory	complexity theory	2	6,29455750551	38,8165356986	280,526526814	4,0	116,0	 
municip wast	municipal waste	municipal waste|&|municipal wastes	2	11,0154756347	65,4709051201	175,179769679	5,0	138,0	 
collabor network	Collaborative networks	Collaborative networks|&|collaborative networks	2	9,44183625827	58,224803548	199,74705156	4,0	168,0	 
current method	current methods	current methods	2	7,86819688189	46,7649322286	182,027844665	5,0	284,0	 
controversi	controversies	controversies|&|controversy	1	5,95713542369	37,0639731435	203,151200564	6,0	192,0	 
counti	County	County|&|county	1	11,9142708474	69,2971251699	206,427665224	15,0	811,0	 
environment futur	future environmental	future environmental	2	7,86819688189	46,7649322286	160,093710281	8,0	495,0	 
effici technic	technical efficiency	technical efficiency	2	11,0154756347	67,9289374726	161,276833543	4,0	197,0	 
air indoor pollut	indoor air pollutants	indoor air pollutants	3	11,9142708474	87,2171106505	190,286193083	2,0	130,0	 
program train	training program	training program	2	7,86819688189	48,5206696233	227,77874323	4,0	134,0	 
assess cycl impact life	life cycle impact assessment	life cycle impact assessment|&|Life Cycle Impact Assessment	4	45,6713715817	191,129936066	1211,47459436	23,0	915,0	 
ict industri	ICT industry	ICT industry|&|ICT industries	2	11,0154756347	63,4625464536	257,698611513	8,0	463,0	 
statist techniqu	statistical techniques	statistical techniques	2	6,29455750551	40,627367047	182,965411001	3,0	178,0	 
exploit knowledg	knowledge exploitation	knowledge exploitation	2	6,29455750551	43,1795904865	175,30321755	2,0	63,0	 
attitud	attitudes	attitudes|&|attitude|&|Attitudes	1	50,6356511014	220,26384976	166,437459001	41,0	2119,0	 
manag risk	risk management	risk management	2	20,4573118929	103,679086782	449,234845049	14,0	690,0	 
decis make	decision making	decision making	2	6,29455750551	38,8165356986	274,259793651	6,0	249,0	 
environment polici	environmental policy	environmental policy|&|environmental policies	2	80,2556081953	293,828322235	566,207540304	49,0	1546,0	 
n2o	N2O	N2O	1	20,8499739829	112,057767658	323,647671191	15,0	1085,0	 
framework methodolog	methodological framework	methodological framework|&|framework and methodologies	2	6,29455750551	38,8165356986	177,254845478	4,0	214,0	 
polar solvent	solvent polarity	solvent polarity|&|solvent polarities	2	9,44183625827	58,224803548	167,011234731	4,0	186,0	 
practic sustain	sustainability practices	sustainability practices|&|sustainable practices	2	6,29455750551	38,8165356986	176,753972956	4,0	214,0	 
soil surfac	soil surface	soil surface	2	14,1627543874	77,5203320494	367,60674031	8,0	478,0	 
plot	plots	plots|&|plot	1	26,8071094066	135,887873412	157,472809644	19,0	1059,0	 
emiss greenhouse-ga	greenhouse-gas emissions	greenhouse-gas emissions	2	6,29455750551	38,8165356986	210,730197688	4,0	219,0	 
solut technolog	technological solutions	technological solutions|&|technological solution	2	6,29455750551	38,8165356986	164,014965007	4,0	272,0	 
flue ga	flue gas	flue gas	2	15,7363937638	86,1337022771	185,633854685	8,0	474,0	 
environment pressur	environmental pressure	environmental pressure|&|environmental pressures	2	20,4573118929	105,459105659	207,049586612	13,0	753,0	 
process product	production process	production process|&|production processes|&|products and processes|&|products or processes|&|processes and products	2	69,2401325607	278,803427836	299,844899656	35,0	2103,0	 
ga global greenhous	global greenhouse gas	global greenhouse gas	3	5,95713542369	37,0639731435	226,777669301	3,0	189,0	 
flow system	flow systems	flow systems|&|Flow Systems	2	12,589115011	74,8238915658	156,678544103	5,0	253,0	 
music	music	music|&|Music	1	7,94284723159	52,6391782695	192,669028887	7,0	335,0	 
redox	redox	redox	1	13,8999826553	74,7051784383	344,580936195	29,0	1650,0	 
applic techniqu	application techniques	application techniques|&|techniques and applications|&|applications and techniques|&|application of these techniques	2	7,86819688189	46,7649322286	208,931029516	5,0	318,0	 
strike	strike	strike	1	5,95713542369	41,1931447667	174,815188327	3,0	149,0	 
air travel	air travel	air travel	2	14,1627543874	87,3372053219	188,09276208	4,0	252,0	 
co2 flux	CO2 fluxes	CO2 fluxes|&|CO2 flux|&|fluxes Of CO2	2	26,7518693984	146,427293871	333,458888642	10,0	648,0	 
manag transport	transportation management	transportation management	2	9,44183625827	56,1179186744	164,035681637	5,0	240,0	 
agricultur land	agricultural land	agricultural land	2	6,29455750551	38,8165356986	190,32810266	5,0	292,0	 
rail transit	rail transit	rail transit	2	6,29455750551	40,627367047	194,509715911	3,0	187,0	 
desalin water	water desalination	water desalination	2	6,29455750551	43,1795904865	154,689420367	2,0	113,0	 
relat	relation	relation|&|relations|&|Relations|&|Relation	1	119,142708474	406,082090027	163,656452691	105,0	5716,0	 
lci	LCI	LCI|&|lci	1	25,8142535027	129,530891107	306,618571007	21,0	982,0	 
crm domain	CRM domain	CRM domain|&|domain of CRM	2	6,29455750551	47,5426452743	161,785143886	1,0	93,0	 
issu sustain	sustainability issues	sustainability issues|&|issues of sustainability	2	11,0154756347	61,7645033959	210,468610251	7,0	446,0	 
area surfac	surface area	surface area|&|surface areas	2	12,589115011	70,588003881	253,464210345	7,0	456,0	 
brazil southern	southern Brazil	southern Brazil	2	7,86819688189	46,7649322286	178,673890062	5,0	154,0	 
pattern use	use patterns	use patterns|&|patterns of use	2	9,44183625827	54,3964683888	207,694167525	6,0	306,0	 
hole	hole	hole|&|holes	1	14,8928385592	86,6214064624	186,916783923	11,0	586,0	 
ltd scienc	Science Ltd	Science Ltd	2	23,6045906457	114,362503334	294,521666836	15,0	821,0	 
pollut sourc	pollution source	pollution source|&|source pollution|&|pollution sources|&|sources of pollution	2	7,86819688189	46,7649322286	268,554325529	10,0	553,0	 
cycl emiss ghg life	life cycle GHG emissions	life cycle GHG emissions	4	15,8856944632	98,8372617161	211,333997819	3,0	229,0	 
mg	Mg	Mg|&|mg	1	34,7499566382	165,251360446	235,409489141	31,0	1776,0	 
room	room	room|&|rooms|&|Room	1	20,8499739829	110,619268082	282,357340361	30,0	1519,0	 
growth popul	population growth	population growth|&|growth in population	2	39,3409844095	173,788103899	669,628378589	23,0	1283,0	 
manag scenario	management scenarios	management scenarios	2	9,44183625827	58,224803548	172,239605171	6,0	431,0	 
mn	Mn	Mn|&|MN	1	31,7713889264	164,586087326	217,141556439	17,0	971,0	 
payback period	payback period	payback period|&|payback periods	2	12,589115011	77,6330713973	192,302484276	4,0	202,0	 
roof	roof	roof|&|roofs	1	6,94999132764	43,2413020008	166,702976517	6,0	323,0	 
mj	MJ	MJ	1	5,95713542369	37,0639731435	164,566362917	6,0	511,0	 
mu	mu	mu	1	23,8285416948	122,077563847	348,141989816	46,0	2880,0	 
mt	Mt	Mt	1	5,95713542369	39,4793837021	173,876053404	4,0	237,0	 
mw	MW	MW	1	10,9214149434	62,3716788289	264,510935214	10,0	591,0	 
servic web	web service	web service|&|Web Services	2	9,44183625827	54,3964683888	216,184140461	6,0	245,0	 
environment evalu	environmental evaluation	environmental evaluation	2	11,0154756347	63,4625464536	190,657240096	7,0	376,0	 
eco-redesign	eco-redesign	eco-redesign	1	4,96427951974	32,8994864184	158,580065013	4,0	168,0	 
inform relev	relevant information	relevant information|&|relevance of the information|&|relevance of information	2	9,44183625827	54,3964683888	196,632317907	6,0	279,0	 
root	root	root|&|roots|&|Root	1	30,7785330224	146,365490681	217,472119356	32,0	1790,0	 
workforc	workforce	workforce	1	5,95713542369	38,150087348	207,444279846	5,0	278,0	 
kinet	kinetics	kinetics|&|Kinetics	1	18,864262175	98,8666281101	185,728814349	18,0	1001,0	 
climat	climate	climate|&|Climate|&|climates|&|CLIMATE	1	82,4070400278	304,580473661	2212,52041727	249,0	12992,0	 
design paramet	design parameters	design parameters	2	9,44183625827	56,1179186744	210,93037523	6,0	377,0	 
household	household	household|&|households|&|Household|&|Households	1	95,3141667791	378,443568336	269,414526916	98,0	4990,0	 
india	India	India|&|india|&|INDIA	1	78,435616412	310,063387716	202,391066298	61,0	3072,0	 
indic	indicators	indicators|&|indicator|&|indices|&|Indicators|&|indication|&|Indicator|&|indications|&|INDICATORS	1	265,092526354	739,022461382	214,345154964	296,0	14490,0	 
degrad land	land degradation	land degradation|&|degraded lands	2	15,7363937638	84,2802220493	212,756998923	9,0	560,0	 
fossil-fuel	fossil-fuel	fossil-fuel	1	6,94999132764	46,0592809858	184,593846477	4,0	182,0	 
geometri octahedr	octahedral geometry	octahedral geometry	2	7,86819688189	46,7649322286	234,690403381	5,0	305,0	 
industri product	industrial production	industrial production|&|industrial products|&|products industries|&|industry because the production|&|industry production|&|production industry	2	22,0309512693	109,890984158	185,617858842	15,0	806,0	 
concentr so2	SO2 concentration	SO2 concentration	2	6,29455750551	43,1795904865	173,985119871	2,0	98,0	 
land sustain use	land use sustainability	land use sustainability|&|sustainable land use|&|sustainable use of land	3	11,9142708474	70,7004241579	181,66547224	4,0	220,0	 
manag water	water management	water management|&|Water Management|&|water managers	2	26,7518693984	126,262489058	216,24449565	21,0	1268,0	 
analysi exergi	exergy analysis	exergy analysis|&|Exergy analysis|&|Exergy Analysis	2	39,3409844095	185,680130967	162,854584951	19,0	879,0	 
growth sustain	sustainable growth	sustainable growth	2	6,29455750551	38,8165356986	177,715013551	4,0	208,0	 
ie	IE	IE|&|ie	1	56,5927865251	259,169501217	967,889286735	32,0	1681,0	 
travel	travel	travel|&|travelers|&|Travel|&|travellers|&|Traveler	1	52,6213629093	231,671832794	281,736250931	71,0	3815,0	 
methanol	methanol	methanol	1	15,8856944632	85,3773467867	162,718617723	14,0	791,0	 
recoveri	recovery	recovery|&|Recovery|&|RECOVERY	1	96,307022683	352,178263204	187,921647662	125,0	6728,0	 
interview	interviews	interviews|&|interview|&|Interviews	1	23,8285416948	115,222519589	238,374282097	33,0	1881,0	 
negoti	negotiations	negotiations|&|negotiation	1	8,93570313554	51,9728438774	159,469946755	9,0	513,0	 
perspect	perspective	perspective|&|perspectives|&|Perspectives|&|Perspective|&|PERSPECTIVE	1	161,835512344	487,058701269	196,046270798	203,0	11851,0	 
cycl data life	life cycle data	life cycle data|&|Life Cycle Data	3	9,92855903949	56,7015262081	214,261243597	7,0	381,0	 
hydrazyl	hydrazyl	hydrazyl	1	4,96427951974	32,8994864184	249,190213421	4,0	86,0	 
ecosystem servic valuat	ecosystem services valuation	ecosystem services valuation|&|valuation of ecosystem services	3	13,8999826553	92,1185619716	291,927534505	2,0	49,0	 
greenhous	greenhouse	greenhouse|&|Greenhouse|&|greenhouses	1	28,7928212145	152,759941637	3133,39013004	234,0	13128,0	 
substanc	substance	substance|&|substances|&|Substance|&|Substances	1	43,6856597738	193,52827515	746,073418611	86,0	3736,0	 
input-output	input-output	input-output|&|Input-Output|&|Input-output	1	27,7999653106	133,291422822	458,384211657	108,0	4060,0	 
chines restaur	Chinese restaurants	Chinese restaurants	2	7,86819688189	59,4283065929	183,976125695	1,0	43,0	 
superoxid	superoxide	superoxide	1	4,96427951974	31,7917394567	172,451886113	6,0	270,0	 
mesh	mesh	mesh	1	4,96427951974	32,8994864184	192,29377631	4,0	139,0	 
import part	important part	important part	2	15,7363937638	82,6222274877	195,81564903	10,0	537,0	 
clean technolog	clean technology	clean technology	2	12,589115011	70,588003881	207,381199699	7,0	166,0	 
polycarbon	polycarbonate	polycarbonate	1	4,96427951974	31,7917394567	182,542129294	5,0	283,0	 
ab initio	ab initio	ab initio	2	6,29455750551	40,627367047	157,809685393	3,0	159,0	 
fleet	fleet	fleet|&|fleets|&|Fleet|&|Fleets	1	26,8071094066	137,337259328	230,08749112	25,0	1628,0	 
amin	amine	amine|&|Amine|&|amines	1	10,9214149434	64,8087221448	223,632106405	8,0	354,0	 
challeng research	research challenges	research challenges	2	7,86819688189	48,5206696233	211,414205796	4,0	258,0	 
busi model	business models	business models|&|business model	2	11,0154756347	63,4625464536	265,707967018	8,0	392,0	 
polypropylen	polypropylene	polypropylene	1	6,94999132764	42,1699561128	185,889982131	11,0	516,0	 
greek	Greek	Greek	1	6,94999132764	43,2413020008	204,202212439	10,0	518,0	 
environ	environment	environment|&|environments|&|Environment|&|ENVIRONMENT|&|Environments|&|Environ	1	505,36365511	987,689857909	248,537197723	586,0	28300,0	 
consumpt electr	electricity consumption	electricity consumption|&|Electricity consumption	2	23,6045906457	119,629715518	292,83767531	12,0	715,0	 
ethernet	Ethernet	Ethernet|&|ethernet	1	5,95713542369	39,4793837021	159,082265271	4,0	144,0	 
wind	wind	wind|&|Wind|&|winds	1	43,6856597738	202,974124302	196,615012411	50,0	2580,0	 
futur work	Future work	Future work|&|future work	2	7,86819688189	46,7649322286	188,623172632	5,0	277,0	 
win-win	win-win	win-win	1	5,95713542369	37,0639731435	168,800678804	9,0	349,0	 
feedback	feedback	feedback|&|feedbacks	1	14,8928385592	81,1449406777	185,946885805	19,0	1126,0	 
telecom	telecom	telecom|&|Telecom	1	5,95713542369	37,0639731435	166,139475273	8,0	420,0	 
flow materi	material flows	material flows|&|material flow|&|materials flow|&|materials flows|&|flow of materials|&|Material Flow|&|Material flows|&|Material Flows|&|materials beside the flows	2	121,170231981	421,11976354	1190,0088434	77,0	3689,0	 
environ natur	natural environment	natural environment	2	20,4573118929	105,459105659	240,898487541	11,0	534,0	 
japan	Japan	Japan|&|japan	1	71,4856250843	283,832676252	204,501648964	58,0	3243,0	 
good servic	goods and services	goods and services	3	14,1627543874	75,8521998443	173,246058583	9,0	621,0	 
resourc tourism water	tourism water resources	tourism water resources|&|tourism of water resources	3	5,95713542369	37,0639731435	261,890522616	5,0	146,0	 
activ manag	management activities	management activities|&|management of these activities	2	9,44183625827	56,1179186744	184,942762653	5,0	324,0	 
environment problem	environmental problems	environmental problems|&|environmental problem	2	51,9300994205	217,362816283	301,485266334	30,0	1861,0	 
consumpt food	food consumption	food consumption	2	11,0154756347	63,4625464536	215,301020709	6,0	238,0	 
ligand	ligand	ligand|&|ligands	1	55,5999306211	251,146540351	604,410490852	37,0	1648,0	 
outcom	outcomes	outcomes|&|outcome|&|Outcome	1	72,4784809883	284,057136693	207,646251351	67,0	3900,0	 
crop yield	crop yields	crop yields	2	12,589115011	68,9069618216	175,274048031	9,0	555,0	 
cool-season grass perenni	cool-season perennial grasses	cool-season perennial grasses	3	5,95713542369	39,4793837021	172,382456219	2,0	98,0	 
electr mix	electricity mix	electricity mix|&|electricity mixes|&|mix of electricity	2	14,1627543874	77,5203320494	320,249974153	8,0	547,0	 
evalu indic	evaluation indicators	evaluation indicators|&|indicator evaluation|&|evaluation indicator	2	6,29455750551	38,8165356986	298,580108242	4,0	150,0	 
concept design	design concept	design concept|&|design concepts|&|concept designs	2	17,3100331402	99,7268587127	264,943865191	6,0	306,0	 
eco-effect	eco-effectiveness	eco-effectiveness	1	8,93570313554	59,2190755532	170,556146154	4,0	107,0	 
comprehens	Comprehensive	Comprehensive|&|comprehension	1	6,94999132764	42,1699561128	162,462456807	7,0	416,0	 
c degre	degrees C	degrees C	2	88,1238050772	340,518939872	366,135916637	40,0	2118,0	 
definit develop sustain	definition of sustainable development	definition of sustainable development	4	5,95713542369	37,0639731435	192,232253525	3,0	175,0	 
assess impact method	impact assessment method	impact assessment method	3	11,9142708474	65,8696030408	209,942483628	6,0	571,0	 
percarbon sodium	sodium percarbonate	sodium percarbonate	2	7,86819688189	53,9744881081	177,740691761	2,0	79,0	 
elong	elongation	elongation	1	4,96427951974	34,3276206389	163,555211349	6,0	266,0	 
fragment	fragments	fragments|&|fragment|&|fragmentation	1	13,8999826553	82,4838281843	191,233940477	9,0	383,0	 
life qualiti	quality of life	quality of life	3	25,1782300221	120,361704492	243,581176944	16,0	1040,0	 
research result	research results	research results|&|results of research	2	14,1627543874	77,5203320494	185,11320998	8,0	432,0	 
band	band	band|&|bands	1	31,7713889264	153,630026119	178,927561545	31,0	1595,0	 
factor product total	total factor productivity	total factor productivity	3	5,95713542369	37,0639731435	185,469493854	3,0	87,0	 
effici energi	energy efficiency	energy efficiency|&|Energy efficiency|&|energy efficient|&|Energy Efficiency|&|energy and efficiency	2	155,790298261	486,402199905	1272,62283915	104,0	4673,0	 
self-regul	self-regulation	self-regulation	1	6,94999132764	44,5084352394	161,799833263	5,0	237,0	 
educ ict	ICT education	ICT education|&|ICT in education	2	6,29455750551	38,8165356986	270,274121625	4,0	253,0	 
interrupt	interruption	interruption|&|interruptions	1	4,96427951974	31,7917394567	181,04307166	5,0	217,0	 
electr sector	electricity sector	electricity sector	2	6,29455750551	38,8165356986	187,543524882	4,0	231,0	 
product technolog	production technologies	production technologies|&|production technology	2	20,4573118929	105,459105659	172,673228647	11,0	705,0	 
industri process	process industry	process industry|&|industrial processes|&|process industries|&|industrial process|&|processing industries	2	44,0619025386	189,2405848	176,830734925	27,0	1646,0	 
cl-	Cl-	Cl-	1	7,94284723159	58,1447404337	156,408565149	2,0	133,0	 
anion	anion	anion|&|anions	1	18,864262175	100,084099693	223,204454169	17,0	821,0	 
oxygen	oxygen	oxygen|&|Oxygen	1	31,7713889264	149,887895484	356,110447204	60,0	3197,0	 
forest manag	forest management	forest management	2	14,1627543874	75,8521998443	173,427748126	12,0	516,0	 
perform ratio	performance ratio	performance ratio	2	9,44183625827	60,9410505705	171,187775711	3,0	211,0	 
basi function	basis function	basis function|&|basis functions	2	7,86819688189	50,7842088087	292,633582318	5,0	242,0	 
adsorpt	adsorption	adsorption	1	16,8785503671	89,5489313045	204,984281311	17,0	672,0	 
consumpt power	power consumption	power consumption	2	20,4573118929	107,408895734	340,497632991	10,0	578,0	 
lcia	LCIA	LCIA|&|lcia	1	21,8428298869	114,477148338	656,558714235	16,0	731,0	 
compon import	important component	important component	2	7,86819688189	46,7649322286	201,607087742	5,0	270,0	 
mrna	mRNA	mRNA	1	5,95713542369	41,1931447667	189,106414072	4,0	143,0	 
glass temperatur transit	glass transition temperature	glass transition temperature	3	7,94284723159	47,1336161053	287,911668487	4,0	159,0	 
environment impact less	less environmental impact	less environmental impact|&|less environmental impacts	3	21,8428298869	107,521217662	161,778467539	11,0	671,0	 
congest reduc traffic	reducing traffic congestion	reducing traffic congestion	3	7,94284723159	49,418630858	163,564889773	3,0	212,0	 
cultur entertain modern	modern entertainment culture	modern entertainment culture	3	7,94284723159	52,6391782695	155,241679674	2,0	79,0	 
assess environment impact	environmental impact assessment	environmental impact assessment|&|Environmental Impact Assessment|&|environmental impact assessments|&|assessment of environmental impacts|&|assessment of the environmental impacts|&|assessment of the environmental impact|&|assessment of environmental impact	3	142,971250169	439,192651715	1957,09568207	71,0	3114,0	 
healthcar	healthcare	healthcare|&|Healthcare	1	28,7928212145	140,452622539	327,310041784	29,0	1211,0	 
